player_a,player_b,color_a,color_b,condition,round_type,exec_score_a,upside_score_a,score_a,exec_score_b,upside_score_b,score_b,winner_score,loser_score,prediction,actual_winner,correct
Taylor Moore,Ryo Hisatsune,Orange,Yellow,Moderate,Survival,-6.84,-2.11,-4.475,-0.23,-0.29,-0.26,-0.26,-4.475,Ryo Hisatsune,Ryo Hisatsune,True
Jacob Bridgeman,Ben Griffin,Red,Blue,Moderate,Survival,-2.45,0.29,-1.08,-1.1,1.58,0.24,0.24,-1.08,Ben Griffin,Jacob Bridgeman,False
Kurt Kitayama,Harry Hall,Purple,Orange,Moderate,Survival,8.22,7.36,7.790000000000001,-6.84,-2.11,-4.475,7.790000000000001,-4.475,Kurt Kitayama,Harry Hall,False
Adam Scott,Wyndham Clark,Orange,Green,Moderate,Survival,-6.84,-4.32,-5.58,1.73,3.02,2.375,2.375,-5.58,Wyndham Clark,Wyndham Clark,True
Hideki Matsuyama,Xander Schauffele,Green,Purple,Moderate,Survival,2.26,2.22,2.24,5.41,7.36,6.385,6.385,2.24,Xander Schauffele,Xander Schauffele,True
Corey Conners,Min Woo Lee,Green,Orange,Moderate,Survival,2.26,2.22,2.24,0.89,-4.32,-1.715,2.24,-1.715,Corey Conners,Corey Conners,True
Aaron Rai,Davis Thompson,Green,Yellow,Moderate,Survival,2.26,3.02,2.6399999999999997,-0.23,-0.29,-0.26,2.6399999999999997,-0.26,Aaron Rai,Aaron Rai,True
Justin Rose,Jason Day,Orange,Yellow,Moderate,Survival,0.89,-4.32,-1.715,-0.37,-0.29,-0.32999999999999996,-0.32999999999999996,-1.715,Jason Day,Justin Rose,False
Cameron Young,Chris Gotterup,Orange,Blue,Moderate,Survival,-6.84,-4.32,-5.58,-1.1,1.58,0.24,0.24,-5.58,Chris Gotterup,Cameron Young,False
Daniel Berger,Ricky Castillo,Blue,Red,Moderate,Survival,-1.1,1.58,0.24,-2.45,0.29,-1.08,0.24,-1.08,Daniel Berger,Push,
Taylor Pendrith,Christiaan Bezuidenhout,Orange,Orange,Moderate,Survival,-6.84,-2.11,-4.475,0.89,-4.32,-1.715,-1.715,-4.475,Christiaan Bezuidenhout,Taylor Pendrith,False
Tony Finau,Alex Noren,Blue,Orange,Moderate,Survival,6.4,1.44,3.92,0.89,-2.11,-0.6099999999999999,3.92,-0.6099999999999999,Tony Finau,Alex Noren,False
Akshay Bhatia,Robert MacIntyre,Red,Yellow,Moderate,Survival,-2.45,0.29,-1.08,-0.23,-0.29,-0.26,-0.26,-1.08,Robert MacIntyre,Akshay Bhatia,False
Ryan Gerard,Patrick Cantlay,Orange,Red,Moderate,Survival,0.89,-2.11,-0.6099999999999999,-2.45,0.29,-1.08,-0.6099999999999999,-1.08,Ryan Gerard,Ryan Gerard,True
Brooks Koepka,Harris English,Orange,Orange,Moderate,Survival,-6.84,-4.32,-5.58,0.89,-4.32,-1.715,-1.715,-5.58,Harris English,Brooks Koepka,False
Tommy Fleetwood,Ludvig Aberg,Blue,Blue,Moderate,Survival,-1.1,1.58,0.24,6.4,1.44,3.92,3.92,0.24,Ludvig Aberg,Ludvig Aberg,True
Brian Harman,Michael Brennan,Purple,Purple,Moderate,Survival,5.41,7.36,6.385,5.41,7.36,6.385,6.385,6.385,TIE,Brian Harman,
Maverick McNealy,Justin Thomas,Blue,Blue,Moderate,Survival,-1.1,1.58,0.24,-1.1,1.44,0.16999999999999993,0.24,0.16999999999999993,Maverick McNealy,Justin Thomas,False
Matt Fitzpatrick,Russell Henley,Blue,Purple,Moderate,Survival,-1.1,1.44,0.16999999999999993,5.41,7.36,6.385,6.385,0.16999999999999993,Russell Henley,Matt Fitzpatrick,False
Si Woo Kim,Jake Knapp,Blue,Orange,Moderate,Survival,-1.1,1.58,0.24,0.89,-2.11,-0.6099999999999999,0.24,-0.6099999999999999,Si Woo Kim,Push,
Nicolai Hojgaard,Austin Smotherman,Blue,Orange,Calm,Survival,-2.15,-1.86,-2.005,1.09,3.04,2.065,2.065,-2.005,Austin Smotherman,Nicolai Hojgaard,False
Si Woo Kim,Bud Cauley,Yellow,Yellow,Calm,Survival,0.79,8.4,4.595000000000001,-0.53,0.3,-0.11500000000000002,4.595000000000001,-0.11500000000000002,Si Woo Kim,Bud Cauley,False
Lucas Glover,Ryo Hisatsune,Yellow,Yellow,Calm,Survival,-0.53,-1.01,-0.77,0.79,8.4,4.595000000000001,4.595000000000001,-0.77,Ryo Hisatsune,Push,
Ryan Gerard,Jason Day,Blue,Blue,Calm,Survival,-1.81,-1.86,-1.835,-2.15,-1.86,-2.005,-1.835,-2.005,Ryan Gerard,,False
Taylor Pendrith,Denny McCarthy,Yellow,Orange,Calm,Survival,-0.53,0.3,-0.11500000000000002,1.09,3.04,2.065,2.065,-0.11500000000000002,Denny McCarthy,Denny McCarthy,True
Kurt Kitayama,Pierceson Coody,Orange,Blue,Calm,Survival,1.09,3.04,2.065,-2.15,-1.86,-2.005,2.065,-2.005,Kurt Kitayama,Kurt Kitayama,True
Jordan Spieth,Sam Stevens,Purple,Blue,Calm,Survival,4.09,-0.42,1.835,-1.81,-1.26,-1.5350000000000001,1.835,-1.5350000000000001,Jordan Spieth,,False
Sam Burns,Sungjae Im,Purple,Orange,Calm,Survival,-1.02,-2.65,-1.835,1.09,3.04,2.065,2.065,-1.835,Sungjae Im,,False
J.J. Spaun,Nick Taylor,Green,Blue,Calm,Survival,7.98,-0.57,3.705,-2.15,-3.04,-2.5949999999999998,3.705,-2.5949999999999998,J.J. Spaun,Push,
Keegan Bradley,Maverick McNealy,Blue,Yellow,Calm,Survival,-1.81,-1.26,-1.5350000000000001,-0.53,-1.01,-0.77,-0.77,-1.5350000000000001,Maverick McNealy,Keegan Bradley,False
Ben Griffin,Tommy Fleetwood,Blue,Yellow,Calm,Survival,-1.81,-1.26,-1.5350000000000001,0.79,8.4,4.595000000000001,4.595000000000001,-1.5350000000000001,Tommy Fleetwood,Tommy Fleetwood,True
Nico Echavarria,Ludvig Aberg,Yellow,Yellow,Calm,Survival,-0.53,0.3,-0.11500000000000002,-0.53,0.3,-0.11500000000000002,-0.11500000000000002,-0.11500000000000002,TIE,Ludvig Aberg,
Jacob Bridgeman,Chris Gotterup,Yellow,Yellow,Calm,Survival,-0.53,-1.01,-0.77,-0.53,-1.01,-0.77,-0.77,-0.77,TIE,Chris Gotterup,
Justin Thomas,Hideki Matsuyama,Yellow,Yellow,Calm,Survival,-0.53,0.3,-0.11500000000000002,-0.53,0.3,-0.11500000000000002,-0.11500000000000002,-0.11500000000000002,TIE,Hideki Matsuyama,
Rory McIlroy,Viktor Hovland,Orange,Yellow,Calm,Survival,1.09,3.04,2.065,-0.53,-1.01,-0.77,2.065,-0.77,Rory McIlroy,,False
Rickie Fowler,Michael Kim,Yellow,Blue,Calm,Survival,-0.53,-1.01,-0.77,-2.15,-1.86,-2.005,-0.77,-2.005,Rickie Fowler,Michael Kim,False
Chris Kirk,Sahith Theegala,Blue,Purple,Calm,Survival,-1.81,-1.86,-1.835,-1.02,-2.65,-1.835,-1.835,-1.835,TIE,Sahith Theegala,
Daniel Bennett,Joel Dahmen,Yellow,Blue,Calm,Survival,0.79,0.3,0.545,-2.15,-1.86,-2.005,0.545,-2.005,Daniel Bennett,Daniel Bennett,True
Jhonattan Vegas,Tom Hoge,Yellow,Blue,Calm,Survival,0.79,0.3,0.545,-2.15,-1.86,-2.005,0.545,-2.005,Jhonattan Vegas,Tom Hoge,False
Ryan Fox,Billy Horschel,Yellow,Yellow,Calm,Survival,-0.53,0.3,-0.11500000000000002,0.79,0.3,0.545,0.545,-0.11500000000000002,Billy Horschel,Billy Horschel,True
Brian Campbell,Patrick Rodgers,Blue,Yellow,Calm,Survival,-1.81,-1.86,-1.835,-0.53,0.3,-0.11500000000000002,-0.11500000000000002,-1.835,Patrick Rodgers,Patrick Rodgers,True
Matt McCarty,Max Greyserman,Yellow,Blue,Calm,Survival,-0.53,0.3,-0.11500000000000002,-1.81,-1.26,-1.5350000000000001,-0.11500000000000002,-1.5350000000000001,Matt McCarty,Matt McCarty,True
Taylor Moore,Andrew Putnam,Purple,Yellow,Calm,Survival,-1.02,-2.65,-1.835,0.79,0.3,0.545,0.545,-1.835,Andrew Putnam,Andrew Putnam,True
Daniel Berger,Alex Noren,Blue,Yellow,Calm,Survival,-2.15,-3.04,-2.5949999999999998,-0.53,0.3,-0.11500000000000002,-0.11500000000000002,-2.5949999999999998,Alex Noren,Daniel Berger,False
Min Woo Lee,Michael Thorbjornsen,Blue,Yellow,Calm,Survival,-2.15,-1.86,-2.005,-0.53,-1.01,-0.77,-0.77,-2.005,Michael Thorbjornsen,Min Woo Lee,False
Harry Hall,Corey Conners,Yellow,Purple,Calm,Survival,-0.53,0.3,-0.11500000000000002,-1.02,-2.65,-1.835,-0.11500000000000002,-1.835,Harry Hall,Corey Conners,False
