condition,round_type,tithi,life_path,n,edge,roi,conf,mean_error
Calm,Open,21.0,8.0,32,21.875,8.536585365853659,HIGH,-0.20590155450000014
Calm,Open,3.0,1.0,79,-13.924050632911394,-8.527131782945737,HIGH,0.9814225744063289
Moderate,Survival,19.0,7.0,79,-13.924050632911392,-8.527131782945736,HIGH,0.38973772797215184
Calm,Survival,21.0,5.0,44,-18.181818181818183,-8.510638297872342,HIGH,0.4874250607136364
Calm,Survival,11.0,5.0,197,-10.659898477157359,-8.502024291497975,HIGH,0.5212337742469545
Calm,Open,23.0,2.0,56,-16.071428571428573,-8.49056603773585,HIGH,0.5955553285714286
Calm,Open,19.0,6.0,56,-16.07142857142857,-8.490566037735848,HIGH,0.03579711891571415
Moderate,Closing,16.0,9.0,68,14.70588235294118,8.474576271186443,HIGH,-0.230505944025
Tough,Closing,24.0,3.0,9,-55.55555555555556,-8.474576271186441,WEAK,2.950415438311111
Tough,Closing,11.0,6.0,9,-55.55555555555556,-8.474576271186441,WEAK,2.9549189733111114
Tough,Survival,29.0,7.0,9,55.55555555555556,8.474576271186441,WEAK,-2.277864008088889
Tough,Survival,17.0,8.0,21,-28.57142857142857,-8.450704225352112,EXPLORATORY,0.6396485311761905
Calm,Positioning,26.0,2.0,57,-15.789473684210526,-8.411214953271028,HIGH,0.5240810354105263
Moderate,Closing,5.0,3.0,81,-13.580246913580247,-8.396946564885496,HIGH,0.5299659205804937
Tough,Positioning,2.0,4.0,10,-50.0,-8.333333333333332,WEAK,2.62714710312
Tough,Open,14.0,2.0,10,-50.0,-8.333333333333332,WEAK,2.18032697791
Moderate,Closing,17.0,8.0,118,11.864406779661016,8.333333333333332,HIGH,0.1680818672932204
Calm,Survival,8.0,9.0,94,12.765957446808507,8.33333333333333,HIGH,0.18310964045319145
Calm,Open,17.0,1.0,167,-10.778443113772454,-8.294930875576036,HIGH,0.6711286751958088
Calm,Open,7.0,9.0,71,-14.084507042253522,-8.264462809917356,HIGH,0.46349089144366207
Moderate,Open,13.0,4.0,180,-10.555555555555554,-8.26086956521739,HIGH,0.507522717114222
Calm,Positioning,26.0,9.0,265,-9.811320754716979,-8.253968253968253,HIGH,0.40408954980377354
Tough,Closing,22.0,4.0,11,-45.45454545454545,-8.19672131147541,WEAK,1.5234914697792725
Tough,Closing,10.0,7.0,11,-45.45454545454545,-8.19672131147541,WEAK,2.029791188116
Moderate,Positioning,28.0,1.0,60,-15.000000000000002,-8.181818181818182,HIGH,0.6835654993633333
Moderate,Survival,1.0,7.0,48,16.666666666666664,8.163265306122447,HIGH,-0.44755554943333326
Moderate,Open,25.0,1.0,73,-13.698630136986301,-8.130081300813009,HIGH,0.4879557488547944
Calm,Open,10.0,5.0,147,-10.8843537414966,-8.121827411167514,HIGH,0.5392748926517007
Moderate,Open,2.0,6.0,24,-24.999999999999996,-8.108108108108107,EXPLORATORY,1.0297490193041667
Moderate,Closing,30.0,6.0,49,-16.3265306122449,-8.080808080808081,HIGH,0.862458132053061
Moderate,Closing,7.0,1.0,49,16.326530612244895,8.08080808080808,HIGH,-0.019277177857142856
Moderate,Positioning,24.0,4.0,12,41.66666666666667,8.064516129032258,WEAK,-2.2762889031666664
Calm,Open,17.0,8.0,311,-9.324758842443732,-8.03324099722992,HIGH,0.531088761470418
Moderate,Positioning,5.0,2.0,87,-12.643678160919539,-8.02919708029197,HIGH,0.6111671294114941
Calm,Open,21.0,6.0,137,-10.948905109489054,-8.021390374331553,HIGH,0.580641439360292
Calm,Survival,23.0,6.0,25,-24.0,-8.0,EXPLORATORY,1.0640239599999999
Calm,Open,20.0,5.0,75,-13.333333333333334,-8.0,HIGH,0.4387695613333335
Calm,Closing,22.0,5.0,25,-24.000000000000004,-8.0,EXPLORATORY,0.11528201436799992
Calm,Open,15.0,1.0,150,-10.666666666666666,-8.0,HIGH,0.47807795750666676
Moderate,Open,11.0,5.0,138,-10.869565217391303,-7.978723404255319,HIGH,-0.3917182368347824
Moderate,Open,19.0,6.0,38,-18.42105263157895,-7.954545454545455,HIGH,1.1575306840789468
Moderate,Survival,25.0,9.0,38,18.42105263157895,7.954545454545455,HIGH,0.12370743221578974
Tough,Closing,4.0,2.0,13,-38.46153846153847,-7.936507936507938,WEAK,2.266852321430769
Moderate,Closing,14.0,4.0,13,-38.46153846153847,-7.936507936507938,WEAK,1.9046462985923083
Moderate,Positioning,30.0,9.0,13,-38.46153846153847,-7.936507936507938,WEAK,1.0137367919999998
Calm,Open,6.0,2.0,303,-9.24092409240924,-7.93201133144476,HIGH,0.3844170191471948
Moderate,Survival,12.0,5.0,114,-11.403508771929827,-7.926829268292684,HIGH,0.7031686207394735
Moderate,Positioning,3.0,4.0,51,-15.686274509803921,-7.920792079207921,HIGH,0.5550844398705882
Calm,Open,11.0,6.0,269,-9.293680297397767,-7.836990595611283,HIGH,0.43594664070483286
Tough,Closing,6.0,2.0,14,-35.71428571428571,-7.812499999999998,WEAK,1.9911215984364288
Calm,Survival,12.0,5.0,168,-10.119047619047619,-7.798165137614679,HIGH,0.7334634546553571
Moderate,Open,9.0,7.0,117,-11.111111111111112,-7.784431137724551,HIGH,0.7739996497882907
