player_a,player_b,condition,round_type,prediction,actual_winner,gap,score_a,score_b,result,correct
Rory McIlroy,Viktor Hovland,Calm,Open,Viktor Hovland,Rory McIlroy,-12.13427218467913,-23.617525773195876,-11.483253588516746,LOSS,False
Rickie Fowler,Michael Kim,Calm,Open,SKIP,Rickie Fowler,-4.683330045373845,-16.362162162162164,-11.67883211678832,SKIP,
Chris Kirk,Sahith Theegala,Calm,Open,Sahith Theegala,Sahith Theegala,-9.555363611033714,-21.717525773195877,-12.162162162162163,WIN,True
Abraham Ancer,Carlos Ortiz,Calm,Open,Carlos Ortiz,Carlos Ortiz,-6.193388578634481,-14.39010989010989,-8.19672131147541,WIN,True
Sergio Garcia,Peter Uihlein,Calm,Open,Peter Uihlein,Push,-8.037610850286907,-12.262962962962964,-4.225352112676058,PUSH,
Talor Gooch,Byeong-Hun An,Calm,Open,Byeong-Hun An,Talor Gooch,-18.96325548226065,-23.188607594936705,-4.225352112676058,LOSS,False
Dustin Johnson,Paul Casey,Calm,Open,SKIP,Paul Casey,-4.9,-6.740490797546012,-1.8404907975460116,SKIP,
Marc Leishman,Elvis Smylie,Calm,Open,Elvis Smylie,Marc Leishman,-7.691886283461299,-15.888607594936708,-8.19672131147541,LOSS,False
Sebastian Munoz,Joaquin Niemann,Calm,Open,Sebastian Munoz,Joaquin Niemann,5.825644631973743,-11.262962962962964,-17.088607594936708,LOSS,False
Thomas Pieters,Anthony Kim,Calm,Open,Anthony Kim,Anthony Kim,-5.942495126705655,-14.12962962962963,-8.187134502923975,WIN,True
David Puig,Tyrrell Hatton,Calm,Open,SKIP,Tyrrell Hatton,-3.6107576633892435,-9.105263157894736,-5.494505494505493,SKIP,
Jon Rahm,Bryson DeChambeau,Calm,Open,Bryson DeChambeau,Push,-17.06325548226065,-21.288607594936707,-4.225352112676058,PUSH,
Cameron Smith,Lucas Herbert,Calm,Open,SKIP,Cameron Smith,1.6052631578947354,-3.0,-4.605263157894735,SKIP,
Byeong-Hun An,Branden Grace,Moderate,Open,Byeong-Hun An,Branden Grace,7.186148206336746,-17.689473684210522,-24.87562189054727,LOSS,False
Richard Bland,Charl Schwartzel,Moderate,Open,SKIP,Push,-3.548337261063107,-19.33781094527363,-15.789473684210524,PUSH,
Dean Burmester,Thomas Pieters,Moderate,Open,Thomas Pieters,Push,-15.116561678300515,-27.554372623574146,-12.43781094527363,PUSH,
Bryson DeChambeau,Tyrrell Hatton,Moderate,Open,SKIP,Bryson DeChambeau,2.724812030075192,-17.989473684210523,-20.714285714285715,SKIP,
Thomas Detry,Marc Leishman,Moderate,Open,Marc Leishman,Push,-11.125411481332808,-26.974468085106388,-15.84905660377358,PUSH,
Sergio Garcia,Talor Gooch,Moderate,Open,Talor Gooch,Talor Gooch,-5.725411481332806,-21.574468085106385,-15.84905660377358,WIN,True
Lucas Herbert,Cameron Smith,Moderate,Open,Cameron Smith,Cameron Smith,-6.689724580065185,-30.26696035242291,-23.577235772357724,WIN,True
Anirban Lahiri,Jason Kokrak,Moderate,Open,SKIP,Push,3.450924347712075,-20.50344827586207,-23.954372623574145,PUSH,
Sebastian Munoz,Joaquin Niemann,Moderate,Open,Joaquin Niemann,Joaquin Niemann,-10.625411481332808,-26.474468085106388,-15.84905660377358,WIN,True
Victor Perez,Dustin Johnson,Moderate,Open,SKIP,Victor Perez,-0.08602540834845485,-23.189473684210526,-23.10344827586207,SKIP,
Jon Rahm,David Puig,Moderate,Open,Jon Rahm,Jon Rahm,7.817903748649329,-14.64905660377358,-22.46696035242291,WIN,True
Elvis Smylie,Abraham Ancer,Moderate,Open,Abraham Ancer,Elvis Smylie,-9.882639434406919,-27.075621890547268,-17.19298245614035,LOSS,False
Caleb Surratt,Anthony Kim,Moderate,Open,SKIP,Push,-4.238609832566205,-28.19298245614035,-23.954372623574145,PUSH,
Peter Uihlein,Paul Casey,Moderate,Open,Paul Casey,Paul Casey,-5.786025408348451,-28.88947368421052,-23.10344827586207,WIN,True
Harold Varner III,Jose Luis Ballester,Moderate,Open,Jose Luis Ballester,Harold Varner III,-6.5,-30.077235772357724,-23.577235772357724,LOSS,False
Matthew Wolff,Richard T. Lee,Moderate,Open,SKIP,Richard T. Lee,-3.6387938635161383,-19.487850467289718,-15.84905660377358,SKIP,
Christiaan Bezuidenhout,Thorbjorn Olesen,Moderate,Open,Thorbjorn Olesen,Christiaan Bezuidenhout,-10.20866153812436,-32.67562189054727,-22.46696035242291,LOSS,False
Bud Cauley,Mac Meissner,Moderate,Open,Mac Meissner,Bud Cauley,-6.655171510866717,-19.092982456140348,-12.43781094527363,LOSS,False
Daniel Berger,Alex Noren,Moderate,Open,SKIP,Alex Noren,0.31559780857235253,-22.78785046728972,-23.10344827586207,SKIP,
Ryan Gerard,Michael Thorbjornsen,Moderate,Open,Michael Thorbjornsen,Ryan Gerard,-11.387762088147202,-27.177235772357726,-15.789473684210524,LOSS,False
Max Homa,Kristoffer Reitan,Moderate,Open,Kristoffer Reitan,Max Homa,-5.15607414763323,-22.34905660377358,-17.19298245614035,LOSS,False
Taylor Pendrith,Rasmus Hojgaard,Moderate,Open,Rasmus Hojgaard,Taylor Pendrith,-13.261390167433795,-30.454372623574145,-17.19298245614035,LOSS,False
Akshay Bhatia,Viktor Hovland,Moderate,Open,SKIP,Viktor Hovland,-3.1483372610631086,-18.937810945273633,-15.789473684210524,SKIP,
Patrick Cantlay,Maverick McNealy,Moderate,Open,Maverick McNealy,Maverick McNealy,-8.243925852366768,-24.092982456140348,-15.84905660377358,WIN,True
Ludvig Aberg,Russell Henley,Moderate,Open,SKIP,Russell Henley,-1.9612061364838613,-17.84905660377358,-15.887850467289718,SKIP,
Tommy Fleetwood,Si Woo Kim,Moderate,Open,SKIP,Tommy Fleetwood,1.6289801907556871,-21.474468085106384,-23.10344827586207,SKIP,
Scottie Scheffler,Collin Morikawa,Moderate,Open,Collin Morikawa,Scottie Scheffler,-8.065637330588439,-20.50344827586207,-12.43781094527363,LOSS,False
Harris English,Robert MacIntyre,Moderate,Open,SKIP,Robert MacIntyre,-3.6000000000000014,-27.177235772357726,-23.577235772357724,SKIP,
Matt Fitzpatrick,Jake Knapp,Moderate,Open,Matt Fitzpatrick,Matt Fitzpatrick,11.76489893936362,-12.189473684210524,-23.954372623574145,WIN,True
Jacob Bridgeman,Pierceson Coody,Moderate,Open,Pierceson Coody,Jacob Bridgeman,-6.492492267316525,-26.06696035242291,-19.574468085106385,LOSS,False
Ryan Fox,Alex Smalley,Moderate,Open,Ryan Fox,Alex Smalley,10.876474769012084,-9.837810945273631,-20.714285714285715,LOSS,False
Kurt Kitayama,Ben Griffin,Moderate,Open,SKIP,Ben Griffin,-2.098846194559119,-26.974468085106388,-24.87562189054727,SKIP,
