condition,round_type,tithi,life_path,n,edge,roi,conf,mean_error
Moderate,Positioning,12.0,3.0,2,100.0,3.8461538461538463,WEAK,-2.4311752625
Moderate,Closing,11.0,3.0,2,100.0,3.8461538461538463,WEAK,-4.2242787108
Tough,Positioning,30.0,7.0,2,100.0,3.8461538461538463,WEAK,-3.7324373076
Moderate,Survival,1.0,3.0,2,100.0,3.8461538461538463,WEAK,-2.6095025817
Tough,Positioning,1.0,3.0,2,100.0,3.8461538461538463,WEAK,-2.91762249279
Moderate,Closing,26.0,9.0,133,5.263157894736842,3.8251366120218577,HIGH,0.16974387354360904
Calm,Closing,4.0,2.0,186,4.838709677419356,3.8135593220338992,HIGH,-0.06324853200376347
Moderate,Closing,15.0,1.0,55,7.2727272727272725,3.8095238095238098,HIGH,0.4936225907545454
Calm,Closing,29.0,6.0,55,7.2727272727272725,3.8095238095238098,HIGH,-0.19884407390909078
Moderate,Open,7.0,2.0,55,7.2727272727272725,3.8095238095238098,HIGH,0.0826695846932728
Moderate,Survival,14.0,4.0,29,10.344827586206895,3.797468354430379,EXPLORATORY,-0.3685632504793104
Calm,Open,13.0,3.0,82,6.0975609756097535,3.7878787878787863,HIGH,-0.36222893377682913
Tough,Survival,24.0,9.0,3,66.66666666666666,3.773584905660377,WEAK,-3.7777109820666666
Tough,Closing,13.0,3.0,3,66.66666666666666,3.773584905660377,WEAK,-1.3218374697666666
Tough,Open,16.0,7.0,3,66.66666666666666,3.773584905660377,WEAK,-2.0294523116333334
Tough,Positioning,2.0,3.0,3,66.66666666666666,3.773584905660377,WEAK,-2.9076544849299997
Calm,Positioning,7.0,9.0,30,10.0,3.75,HIGH,0.35612342260000013
Moderate,Closing,3.0,6.0,30,9.999999999999998,3.749999999999999,HIGH,0.06699965211666674
Calm,Open,16.0,2.0,84,5.952380952380948,3.731343283582087,HIGH,0.3156701177250001
Calm,Open,8.0,7.0,193,4.663212435233163,3.703703703703706,HIGH,0.14536150742383427
Calm,Open,11.0,4.0,85,5.882352941176472,3.7037037037037046,HIGH,-0.1010032317058825
Tough,Open,22.0,6.0,4,50.0,3.7037037037037033,WEAK,-2.47771714786
Tough,Positioning,25.0,9.0,4,50.0,3.7037037037037033,WEAK,-2.0877045596
Tough,Positioning,26.0,3.0,4,50.0,3.7037037037037033,WEAK,-1.5570649945000001
Tough,Positioning,9.0,6.0,4,50.0,3.7037037037037033,WEAK,-2.0666949932
Tough,Open,13.0,3.0,4,50.0,3.7037037037037033,WEAK,-2.1551708031
