player_a,player_b,condition,round_type,prediction,actual_winner,gap,score_a,score_b,result,correct
Brian Campbell,Patrick Rodgers,Calm,Open,Patrick Rodgers,Brian Campbell,-6.8,-6.8,0.0,LOSS,False
Matt McCarty,Max Greyserman,Calm,Open,SKIP,Max Greyserman,-5.7,-5.7,0.0,SKIP,
Taylor Moore,Andrew Putnam,Calm,Open,Andrew Putnam,Taylor Moore,-8.3,-8.3,0.0,LOSS,False
Daniel Berger,Alex Noren,Calm,Open,Alex Noren,Daniel Berger,-6.8,-6.8,0.0,LOSS,False
Min Woo Lee,Michael Thorbjornsen,Calm,Open,Michael Thorbjornsen,Min Woo Lee,-11.0,-11.0,0.0,LOSS,False
Harry Hall,Corey Conners,Calm,Open,SKIP,Corey Conners,-5.7,-5.7,0.0,SKIP,
Cameron Young,Sepp Straka,Calm,Open,SKIP,Cameron Young,-5.7,-5.7,0.0,SKIP,
Harris English,Patrick Cantlay,Calm,Open,Patrick Cantlay,Harris English,-9.7,-9.7,0.0,LOSS,False
Andrew Novak,Robert MacIntyre,Calm,Open,SKIP,Robert MacIntyre,-4.2,-4.2,0.0,SKIP,
Brian Harman,Akshay Bhatia,Calm,Open,SKIP,Akshay Bhatia,-5.7,-5.7,0.0,SKIP,
Collin Morikawa,Justin Rose,Calm,Open,Justin Rose,Collin Morikawa,-10.3,-10.3,0.0,LOSS,False
Xander Schauffele,Shane Lowry,Calm,Open,SKIP,Xander Schauffele,1.2,1.2,0.0,SKIP,
Scottie Scheffler,Russell Henley,Calm,Open,SKIP,Push,-5.7,-5.7,0.0,PUSH,
Aldrich Potgieter,Adam Scott,Calm,Open,SKIP,Adam Scott,-4.2,-4.2,0.0,SKIP,
J.T. Poston,Keith Mitchell,Calm,Open,Keith Mitchell,Keith Mitchell,-8.3,-8.3,0.0,WIN,True
Nicolai Hojgaard,Austin Smotherman,Calm,Open,SKIP,nan,-4.1,-4.1,0.0,SKIP,
Si Woo Kim,Bud Cauley,Calm,Open,SKIP,Bud Cauley,-4.2,-4.2,0.0,SKIP,
Lucas Glover,Ryo Hisatsune,Calm,Open,Ryo Hisatsune,Ryo Hisatsune,-9.3,-9.3,0.0,WIN,True
Ryan Gerard,Jason Day,Calm,Open,Jason Day,Jason Day,-11.0,-11.0,0.0,WIN,True
Taylor Pendrith,Denny McCarthy,Calm,Open,SKIP,Denny McCarthy,-4.5,-4.5,0.0,SKIP,
Kurt Kitayama,Pierceson Coody,Calm,Open,Pierceson Coody,Kurt Kitayama,-6.8,-6.8,0.0,LOSS,False
Jordan Spieth,Sam Stevens,Calm,Open,Sam Stevens,Jordan Spieth,-8.3,-8.3,0.0,LOSS,False
Jake Knapp,Matt Fitzpatrick,Calm,Open,Matt Fitzpatrick,Jake Knapp,-7.8,-7.8,0.0,LOSS,False
Sam Burns,Sungjae Im,Calm,Open,SKIP,Sam Burns,-5.7,-5.7,0.0,SKIP,
J.J. Spaun,Nick Taylor,Calm,Open,SKIP,Nick Taylor,-4.5,-4.5,0.0,SKIP,
Keegan Bradley,Maverick McNealy,Calm,Open,Maverick McNealy,Maverick McNealy,-10.3,-10.3,0.0,WIN,True
Ben Griffin,Tommy Fleetwood,Calm,Open,Tommy Fleetwood,Ben Griffin,-10.3,-10.3,0.0,LOSS,False
Nico Echavarria,Ludvig Aberg,Calm,Open,SKIP,Ludvig Aberg,-4.2,-4.2,0.0,SKIP,
Jacob Bridgeman,Chris Gotterup,Calm,Open,SKIP,Chris Gotterup,-4.2,-4.2,0.0,SKIP,
Justin Thomas,Hideki Matsuyama,Calm,Open,Hideki Matsuyama,Hideki Matsuyama,-8.3,-8.3,0.0,WIN,True
Rory McIlroy,Viktor Hovland,Calm,Open,Viktor Hovland,Rory McIlroy,-9.7,-9.7,0.0,LOSS,False
Rickie Fowler,Michael Kim,Calm,Open,SKIP,Rickie Fowler,-4.2,-4.2,0.0,SKIP,
Chris Kirk,Sahith Theegala,Calm,Open,Sahith Theegala,Sahith Theegala,-7.8,-7.8,0.0,WIN,True
Abraham Ancer,Carlos Ortiz,Calm,Open,SKIP,Carlos Ortiz,-4.5,-4.5,0.0,SKIP,
Sergio Garcia,Peter Uihlein,Calm,Open,Peter Uihlein,Push,-9.3,-9.3,0.0,PUSH,
Talor Gooch,Byeong-Hun An,Calm,Open,Byeong-Hun An,Talor Gooch,-6.1,-6.1,0.0,LOSS,False
Dustin Johnson,Paul Casey,Calm,Open,SKIP,Paul Casey,-4.9,-4.9,0.0,SKIP,
Marc Leishman,Elvis Smylie,Calm,Open,SKIP,Marc Leishman,1.2,1.2,0.0,SKIP,
Sebastian Munoz,Joaquin Niemann,Calm,Open,Joaquin Niemann,Joaquin Niemann,-8.3,-8.3,0.0,WIN,True
Thomas Pieters,Anthony Kim,Calm,Open,SKIP,Anthony Kim,-4.5,-4.5,0.0,SKIP,
David Puig,Tyrrell Hatton,Calm,Open,SKIP,Tyrrell Hatton,-4.5,-4.5,0.0,SKIP,
Jon Rahm,Bryson DeChambeau,Calm,Open,SKIP,Push,-4.2,-4.2,0.0,PUSH,
Cameron Smith,Lucas Herbert,Calm,Open,SKIP,Cameron Smith,-3.0,-3.0,0.0,SKIP,
Byeong-Hun An,Branden Grace,Moderate,Open,SKIP,Branden Grace,-1.9,-1.9,0.0,SKIP,
Richard Bland,Charl Schwartzel,Moderate,Open,Charl Schwartzel,Push,-6.9,-6.9,0.0,PUSH,
Dean Burmester,Thomas Pieters,Moderate,Open,SKIP,Push,-3.6,-3.6,0.0,PUSH,
Bryson DeChambeau,Tyrrell Hatton,Moderate,Open,SKIP,Bryson DeChambeau,-2.2,-2.2,0.0,SKIP,
Thomas Detry,Marc Leishman,Moderate,Open,Marc Leishman,Push,-7.4,-7.4,0.0,PUSH,
Sergio Garcia,Talor Gooch,Moderate,Open,SKIP,Talor Gooch,-2.0,-2.0,0.0,SKIP,
Lucas Herbert,Cameron Smith,Moderate,Open,Cameron Smith,Cameron Smith,-7.8,-7.8,0.0,WIN,True
Anirban Lahiri,Jason Kokrak,Moderate,Open,SKIP,Push,2.6,2.6,0.0,PUSH,
Sebastian Munoz,Joaquin Niemann,Moderate,Open,Joaquin Niemann,Joaquin Niemann,-6.9,-6.9,0.0,WIN,True
Victor Perez,Dustin Johnson,Moderate,Open,Dustin Johnson,Victor Perez,-7.4,-7.4,0.0,LOSS,False
Jon Rahm,David Puig,Moderate,Open,SKIP,Jon Rahm,1.2,1.2,0.0,SKIP,
Elvis Smylie,Abraham Ancer,Moderate,Open,SKIP,Elvis Smylie,-2.2,-2.2,0.0,SKIP,
Caleb Surratt,Anthony Kim,Moderate,Open,Anthony Kim,Push,-11.0,-11.0,0.0,PUSH,
Peter Uihlein,Paul Casey,Moderate,Open,Paul Casey,Paul Casey,-13.1,-13.1,0.0,WIN,True
Harold Varner III,Jose Luis Ballester,Moderate,Open,Jose Luis Ballester,Harold Varner III,-6.5,-6.5,0.0,LOSS,False
Matthew Wolff,Richard T. Lee,Moderate,Open,SKIP,Richard T. Lee,-3.6,-3.6,0.0,SKIP,
Christiaan Bezuidenhout,Thorbjorn Olesen,Moderate,Open,Thorbjorn Olesen,Christiaan Bezuidenhout,-7.8,-7.8,0.0,LOSS,False
Bud Cauley,Mac Meissner,Moderate,Open,SKIP,Bud Cauley,-1.9,-1.9,0.0,SKIP,
Daniel Berger,Alex Noren,Moderate,Open,Alex Noren,Alex Noren,-6.9,-6.9,0.0,WIN,True
Ryan Gerard,Michael Thorbjornsen,Moderate,Open,SKIP,Ryan Gerard,-3.6,-3.6,0.0,SKIP,
Max Homa,Kristoffer Reitan,Moderate,Open,Kristoffer Reitan,Max Homa,-6.5,-6.5,0.0,LOSS,False
Taylor Pendrith,Rasmus Hojgaard,Moderate,Open,Rasmus Hojgaard,Taylor Pendrith,-6.5,-6.5,0.0,LOSS,False
Akshay Bhatia,Viktor Hovland,Moderate,Open,Viktor Hovland,Viktor Hovland,-6.5,-6.5,0.0,WIN,True
Patrick Cantlay,Maverick McNealy,Moderate,Open,Maverick McNealy,Maverick McNealy,-6.9,-6.9,0.0,WIN,True
Ludvig Aberg,Russell Henley,Moderate,Open,SKIP,Russell Henley,-2.0,-2.0,0.0,SKIP,
Tommy Fleetwood,Si Woo Kim,Moderate,Open,SKIP,Tommy Fleetwood,-1.9,-1.9,0.0,SKIP,
Scottie Scheffler,Collin Morikawa,Moderate,Open,SKIP,Scottie Scheffler,2.6,2.6,0.0,SKIP,
Harris English,Robert MacIntyre,Moderate,Open,SKIP,Robert MacIntyre,-3.6,-3.6,0.0,SKIP,
Matt Fitzpatrick,Jake Knapp,Moderate,Open,SKIP,Matt Fitzpatrick,3.6,3.6,0.0,SKIP,
Jacob Bridgeman,Pierceson Coody,Moderate,Open,SKIP,Jacob Bridgeman,-3.6,-3.6,0.0,SKIP,
Ryan Fox,Alex Smalley,Moderate,Open,SKIP,Alex Smalley,2.6,2.6,0.0,SKIP,
Kurt Kitayama,Ben Griffin,Moderate,Open,Ben Griffin,Ben Griffin,-7.4,-7.4,0.0,WIN,True
Adam Scott,Harry Hall,Moderate,Open,SKIP,Adam Scott,-1.9,-1.9,0.0,SKIP,
Rickie Fowler,Shane Lowry,Moderate,Open,SKIP,Push,-3.6,-3.6,0.0,PUSH,
Aaron Rai,Keegan Bradley,Moderate,Open,Keegan Bradley,Aaron Rai,-7.8,-7.8,0.0,LOSS,False
Jordan Spieth,J.J. Spaun,Moderate,Open,SKIP,J.J. Spaun,1.2,1.2,0.0,SKIP,
Sepp Straka,Chris Gotterup,Moderate,Open,Chris Gotterup,Sepp Straka,-6.9,-6.9,0.0,LOSS,False
Nico Echavarria,Wyndham Clark,Moderate,Open,SKIP,Wyndham Clark,1.2,1.2,0.0,SKIP,
Nick Taylor,Max McGreevy,Moderate,Open,SKIP,Max McGreevy,-3.6,-3.6,0.0,SKIP,
Sahith Theegala,Justin Rose,Moderate,Open,SKIP,Sahith Theegala,-3.6,-3.6,0.0,SKIP,
Hideki Matsuyama,Min Woo Lee,Moderate,Open,Min Woo Lee,Hideki Matsuyama,-6.9,-6.9,0.0,LOSS,False
Xander Schauffele,Cameron Young,Moderate,Open,SKIP,Cameron Young,1.2,1.2,0.0,SKIP,
Sam Burns,Jason Day,Moderate,Open,SKIP,Jason Day,-3.6,-3.6,0.0,SKIP,
Davis Thompson,Corey Conners,Moderate,Open,SKIP,Corey Conners,-3.6,-3.6,0.0,SKIP,
Darius van Driel,Freddy Schott,Calm,Open,SKIP,Darius van Driel,-4.2,-4.2,0.0,SKIP,
Tobias Jonsson,Nathan Kimsey,Calm,Open,Nathan Kimsey,Tobias Jonsson,-6.1,-6.1,0.0,LOSS,False
