player_a,player_b,condition,round_type,score_a,score_b,gap,recommendation,color_a,color_b,exec_a,exec_b,upside_a,upside_b,exec_a_bucket,exec_b_bucket,upside_a_bucket,upside_b_bucket,exec_a_roi,exec_b_roi,upside_a_roi,upside_b_roi
Ashun Wu,Francesco Molinari,Calm,Open,-6.759287348831288,0.0,-6.759287348831288,SKIP,Green,nan,25,50,50,50,25-50,50-75,50-75,50-75,-3.812316715542521,0.0,-9.706257982120055,0.0
Joost Luiten,Joel Girrbach,Calm,Open,-6.759287348831288,0.0,-6.759287348831288,SKIP,Green,nan,25,25,50,50,25-50,25-50,50-75,50-75,-3.812316715542521,0.0,-9.706257982120055,0.0
Nathan Kimsey,Niklas Norgaard,Calm,Open,-6.759287348831288,0.0,-6.759287348831288,SKIP,Green,nan,25,50,50,75,25-50,50-75,50-75,75-100,-3.812316715542521,0.0,-9.706257982120055,0.0
Matt McCarty,Max Greyserman,Calm,Open,-6.654587793268107,0.0,-6.654587793268107,SKIP,Yellow,nan,50,50,75,50,50-75,50-75,75-100,50-75,-5.978538579458352,0.0,-7.33063700707786,0.0
Bud Cauley,Michael Kim,Calm,Open,-6.654587793268107,0.0,-6.654587793268107,SKIP,Yellow,nan,50,50,75,50,50-75,50-75,75-100,50-75,-5.978538579458352,0.0,-7.33063700707786,0.0
Elvis Smylie,Branden Grace,Calm,Open,-6.654587793268107,0.0,-6.654587793268107,SKIP,Yellow,nan,50,50,75,50,50-75,50-75,75-100,50-75,-5.978538579458352,0.0,-7.33063700707786,0.0
Wenyi Ding,Yanhan Zhou,Calm,Open,-6.654587793268107,0.0,-6.654587793268107,SKIP,Yellow,nan,50,50,75,50,50-75,50-75,75-100,50-75,-5.978538579458352,0.0,-7.33063700707786,0.0
Oihan Guillamoundeguy,Rocco Repetto Taylor,Calm,Open,-6.654587793268107,0.0,-6.654587793268107,SKIP,Yellow,nan,50,25,75,75,50-75,25-50,75-100,75-100,-5.978538579458352,0.0,-7.33063700707786,0.0
Wenyi Ding,Eugenio Chacarra,Calm,Open,-6.654587793268107,0.0,-6.654587793268107,SKIP,Yellow,nan,50,25,75,75,50-75,25-50,75-100,75-100,-5.978538579458352,0.0,-7.33063700707786,0.0
Mikael Lindberg,Martin Couvra,Calm,Open,-6.654587793268107,0.0,-6.654587793268107,SKIP,Yellow,nan,50,25,75,50,50-75,25-50,75-100,50-75,-5.978538579458352,0.0,-7.33063700707786,0.0
Jorge Campillo,Adrian Otaegui,Calm,Open,-6.654587793268107,0.0,-6.654587793268107,SKIP,Yellow,nan,50,25,75,50,50-75,25-50,75-100,50-75,-5.978538579458352,0.0,-7.33063700707786,0.0
Niklas Lemke,Ivan Cantero Gutierrez,Calm,Open,-6.654587793268107,0.0,-6.654587793268107,SKIP,Yellow,nan,50,50,75,75,50-75,50-75,75-100,75-100,-5.978538579458352,0.0,-7.33063700707786,0.0
Nacho Elvira,Sean Crocker,Calm,Open,-6.654587793268107,0.0,-6.654587793268107,SKIP,Yellow,nan,50,25,75,50,50-75,25-50,75-100,50-75,-5.978538579458352,0.0,-7.33063700707786,0.0
Jeong Weon Ko,Taehoon Ok,Calm,Open,-6.654587793268107,0.0,-6.654587793268107,SKIP,Yellow,nan,50,25,75,75,50-75,25-50,75-100,75-100,-5.978538579458352,0.0,-7.33063700707786,0.0
Aaron Cockerill,Stefano Mazzoli,Calm,Open,-6.654587793268107,0.0,-6.654587793268107,SKIP,Yellow,nan,50,25,75,75,50-75,25-50,75-100,75-100,-5.978538579458352,0.0,-7.33063700707786,0.0
Darius van Driel,Freddy Schott,Calm,Open,-6.654587793268107,0.0,-6.654587793268107,SKIP,Yellow,nan,50,25,75,50,50-75,25-50,75-100,50-75,-5.978538579458352,0.0,-7.33063700707786,0.0
Eugenio Chacarra,Taichi Kho,Calm,Open,-6.564241027910402,0.0,-6.564241027910402,SKIP,Yellow,nan,25,50,75,50,25-50,50-75,75-100,50-75,-5.797845048742943,0.0,-7.33063700707786,0.0
Dan Bradbury,Niklas Norgaard,Calm,Open,-6.564241027910402,0.0,-6.564241027910402,SKIP,Yellow,nan,25,50,75,75,25-50,50-75,75-100,75-100,-5.797845048742943,0.0,-7.33063700707786,0.0
David Puig,Tyrrell Hatton,Calm,Open,-6.564241027910402,0.0,-6.564241027910402,SKIP,Yellow,nan,25,50,75,75,25-50,50-75,75-100,75-100,-5.797845048742943,0.0,-7.33063700707786,0.0
Sebastian Munoz,Joaquin Niemann,Calm,Open,-6.564241027910402,0.0,-6.564241027910402,SKIP,Yellow,nan,25,25,75,50,25-50,25-50,75-100,50-75,-5.797845048742943,0.0,-7.33063700707786,0.0
Oliver Lindell,Jorge Campillo,Calm,Open,-6.564241027910402,0.0,-6.564241027910402,SKIP,Yellow,nan,25,50,75,75,25-50,50-75,75-100,75-100,-5.797845048742943,0.0,-7.33063700707786,0.0
Albin Bergstrom,Andreas Halvorsen,Calm,Open,-6.564241027910402,0.0,-6.564241027910402,SKIP,Yellow,nan,25,25,75,75,25-50,25-50,75-100,75-100,-5.797845048742943,0.0,-7.33063700707786,0.0
Andy Sullivan,Rafa Cabrera Bello,Calm,Open,-6.564241027910402,0.0,-6.564241027910402,SKIP,Yellow,nan,25,25,75,75,25-50,25-50,75-100,75-100,-5.797845048742943,0.0,-7.33063700707786,0.0
Aldrich Potgieter,Adam Scott,Calm,Open,-6.564241027910402,0.0,-6.564241027910402,SKIP,Yellow,nan,25,25,75,50,25-50,25-50,75-100,50-75,-5.797845048742943,0.0,-7.33063700707786,0.0
Jhonattan Vegas,Tom Hoge,Calm,Open,-6.564241027910402,0.0,-6.564241027910402,SKIP,Yellow,nan,25,25,75,75,25-50,25-50,75-100,75-100,-5.797845048742943,0.0,-7.33063700707786,0.0
Maximilian Steinlechner,Joshua Berry,Calm,Open,-6.564241027910402,0.0,-6.564241027910402,SKIP,Yellow,nan,25,50,75,75,25-50,50-75,75-100,75-100,-5.797845048742943,0.0,-7.33063700707786,0.0
Daniel Bennett,Joel Dahmen,Calm,Open,-6.564241027910402,0.0,-6.564241027910402,SKIP,Yellow,nan,25,25,75,75,25-50,25-50,75-100,75-100,-5.797845048742943,0.0,-7.33063700707786,0.0
Frederic Lacroix,Joakim Lagergren,Calm,Open,-13.47647287232165,-7.076348631915785,-6.400124240405866,SKIP,Orange,Purple,25,50,50,50,25-50,50-75,50-75,50-75,-15.048183839881396,-7.493368700265252,-11.904761904761903,-6.6593285635663175
Nick Taylor,Corey Conners,Tough,Open,6.382978723404256,0.0,6.382978723404256,SKIP,Yellow,nan,50,25,50,75,50-75,25-50,50-75,75-100,0.0,0.0,12.765957446808512,0.0
Tommy Fleetwood,Rory McIlroy,Tough,Open,6.382978723404256,0.0,6.382978723404256,SKIP,Yellow,nan,50,25,50,50,50-75,25-50,50-75,50-75,0.0,0.0,12.765957446808512,0.0
Xander Schauffele,Russell Henley,Tough,Open,6.382978723404256,0.06690340178065957,6.316075321623597,SKIP,Yellow,Blue,50,50,50,75,50-75,50-75,50-75,75-100,0.0,-0.6535947712418311,12.765957446808512,0.7874015748031502
Ben Griffin,Tommy Fleetwood,Calm,Open,-6.2880345882637325,0.0,-6.2880345882637325,SKIP,Blue,nan,50,25,50,50,50-75,25-50,50-75,50-75,-7.70901194353963,0.0,-4.867057232987835,0.0
Keegan Bradley,Maverick McNealy,Calm,Open,-6.2880345882637325,0.0,-6.2880345882637325,SKIP,Blue,nan,50,50,50,50,50-75,50-75,50-75,50-75,-7.70901194353963,0.0,-4.867057232987835,0.0
Sebastian Munoz,Thomas Detry,Calm,Open,-6.2880345882637325,0.0,-6.2880345882637325,SKIP,Blue,nan,50,50,50,50,50-75,50-75,50-75,50-75,-7.70901194353963,0.0,-4.867057232987835,0.0
Carlos Ortiz,Tom McKibbin,Calm,Open,-6.2880345882637325,0.0,-6.2880345882637325,SKIP,Blue,nan,50,50,50,75,50-75,50-75,50-75,75-100,-7.70901194353963,0.0,-4.867057232987835,0.0
Frederic Lacroix,Martin Couvra,Calm,Open,-6.2880345882637325,0.0,-6.2880345882637325,SKIP,Blue,nan,50,25,50,50,50-75,25-50,50-75,50-75,-7.70901194353963,0.0,-4.867057232987835,0.0
Jordan Gumberg,David Law,Calm,Open,-6.2880345882637325,0.0,-6.2880345882637325,SKIP,Blue,nan,50,50,50,50,50-75,50-75,50-75,50-75,-7.70901194353963,0.0,-4.867057232987835,0.0
David Puig,Dean Burmester,Calm,Open,-6.2880345882637325,0.0,-6.2880345882637325,SKIP,Blue,nan,50,25,50,25,50-75,25-50,50-75,25-50,-7.70901194353963,0.0,-4.867057232987835,0.0
Marc Leishman,Louis Oosthuizen,Calm,Open,-6.2880345882637325,0.0,-6.2880345882637325,SKIP,Blue,nan,50,50,50,50,50-75,50-75,50-75,50-75,-7.70901194353963,0.0,-4.867057232987835,0.0
Justin Walters,Louis Albertse,Calm,Open,-6.2880345882637325,0.0,-6.2880345882637325,SKIP,Blue,nan,50,50,50,25,50-75,50-75,50-75,25-50,-7.70901194353963,0.0,-4.867057232987835,0.0
Ryan Gerard,Rasmus Hojgaard,Calm,Open,-6.2880345882637325,0.0,-6.2880345882637325,SKIP,Blue,nan,50,50,50,50,50-75,50-75,50-75,50-75,-7.70901194353963,0.0,-4.867057232987835,0.0
Kevin Yu,Matt Wallace,Calm,Open,-6.2880345882637325,0.0,-6.2880345882637325,SKIP,Blue,nan,50,50,50,50,50-75,50-75,50-75,50-75,-7.70901194353963,0.0,-4.867057232987835,0.0
Francesco Laporta,Nathan Kimsey,Calm,Open,-6.2880345882637325,0.0,-6.2880345882637325,SKIP,Blue,nan,50,50,50,25,50-75,50-75,50-75,25-50,-7.70901194353963,0.0,-4.867057232987835,0.0
