color,upside_bucket,condition,round_type,mean_vs_avg,std,n,unique_players,beat_field,p_value
Purple,75-100,Calm,Open,-0.5667,2.7814,705,220,0.3972,0.08543318612951604
Purple,75-100,Calm,Positioning,-0.045,2.7677,462,162,0.4719,0.2860439215289474
Purple,75-100,Calm,REMOVE,-0.3629,2.7303,92,52,0.4565,0.6323714968784485
Purple,75-100,Calm,Survival,-0.1816,3.1177,598,188,0.4281,0.5001394148825227
Purple,75-100,Moderate,Closing,0.3677,3.2729,236,102,0.5085,0.37364556321905606
Purple,75-100,Moderate,Mixed,2.8394,3.9978,8,8,0.75,0.07349081539903864
Purple,75-100,Moderate,Open,0.2116,3.0879,432,163,0.5208,0.09449711287815842
Purple,75-100,Moderate,Positioning,0.1827,2.7201,189,89,0.5132,0.89018526246676
Purple,75-100,Moderate,REMOVE,0.7824,2.3846,77,34,0.4805,0.43678990862765743
Purple,75-100,Moderate,Survival,-0.0982,3.2352,322,141,0.4752,0.5221569786568404
Purple,75-100,Tough,Closing,0.8764,2.5804,32,19,0.6562,0.9577167443375182
Purple,75-100,Tough,Open,0.5224,3.0548,56,36,0.5357,0.09087691201309425
Purple,75-100,Tough,Positioning,0.1587,3.4144,38,21,0.5526,0.5126457367607193
Purple,75-100,Tough,Survival,0.3709,2.6678,57,35,0.5789,0.5150200799761168
Red,25-50,Calm,Closing,-0.2223,0.5003,5,3,0.4,0.9981950841366913
Red,25-50,Calm,Open,0.5011,2.1131,5,3,0.4,0.5140831163127089
Red,25-50,Calm,Positioning,0.829,1.5173,17,9,0.8235,0.1327927889282066
Red,25-50,Calm,REMOVE,-2.9204,6.364,2,2,0.5,
Red,25-50,Calm,Survival,0.65,3.1746,15,12,0.6667,0.2352343967526815
Red,25-50,Moderate,Closing,3.9014,5.6434,5,4,0.6,0.004556589817629017
Red,25-50,Moderate,Positioning,-0.1015,1.598,8,5,0.5,0.7597637925128103
Red,25-50,Moderate,Survival,0.5114,4.502,3,3,0.6667,
Red,25-50,Tough,Survival,0.5428,,1,1,1.0,
Red,50-75,Calm,Closing,0.4519,2.7529,193,70,0.5389,0.0010679870124016405
Red,50-75,Calm,Elimination,1.5902,2.2748,24,14,0.875,0.014757981190082365
Red,50-75,Calm,Mixed,0.2956,3.7598,51,27,0.4706,0.4591856567766225
Red,50-75,Calm,Open,0.0841,3.1863,444,120,0.4369,0.0015485082214090034
Red,50-75,Calm,Positioning,0.0354,2.9328,232,77,0.5216,0.23097632107237365
Red,50-75,Calm,REMOVE,0.135,2.3875,76,40,0.5395,0.28681267648903747
Red,50-75,Calm,Survival,-0.4936,3.165,373,106,0.4075,0.14615199216208874
Red,50-75,Moderate,Closing,0.0664,2.5958,128,59,0.4844,0.6214233568860901
Red,50-75,Moderate,Mixed,2.4644,4.2426,2,2,0.5,
Red,50-75,Moderate,Open,-0.1603,3.519,233,84,0.4077,0.527179566421272
Red,50-75,Moderate,Positioning,-0.4899,2.5933,104,47,0.3846,0.014330639568113672
Red,50-75,Moderate,REMOVE,1.6738,3.0508,28,15,0.7857,0.034644263465968037
Red,50-75,Moderate,Survival,0.4899,3.2688,157,71,0.5223,0.053258575955081426
Red,50-75,Tough,Closing,2.5221,2.763,5,4,0.6,0.23920833809405476
Red,50-75,Tough,Open,-0.4397,3.7973,7,7,0.7143,0.7740333937277686
Red,50-75,Tough,Positioning,0.4393,2.0888,22,12,0.5909,0.9676356725718009
Red,50-75,Tough,Survival,0.4236,2.9561,12,10,0.5,0.8097255288968307
Red,75-100,Calm,Closing,-0.4024,2.8816,82,36,0.4024,0.5748805061720632
Red,75-100,Calm,Elimination,0.9353,2.0,4,4,0.75,
Red,75-100,Calm,Mixed,0.6914,3.3893,40,20,0.5,0.16764419534970054
Red,75-100,Calm,Open,-0.6523,2.5779,115,49,0.3652,0.3120933988269667
Red,75-100,Calm,Positioning,-0.1031,3.0679,94,37,0.4574,0.7742193349719133
Red,75-100,Calm,REMOVE,-0.2502,2.4535,58,32,0.3621,0.9326401658079362
Red,75-100,Calm,Survival,-0.5137,2.9633,118,43,0.3559,0.36900304941294737
Red,75-100,Moderate,Closing,1.1729,3.5713,64,25,0.5938,0.007777485602253697
Red,75-100,Moderate,Mixed,2.4644,1.4142,2,2,1.0,
Red,75-100,Moderate,Open,0.3919,3.0384,56,25,0.3929,0.288960444756455
Red,75-100,Moderate,Positioning,1.5901,3.1482,36,17,0.6667,0.004549888241916177
Red,75-100,Moderate,REMOVE,-1.3445,2.9002,35,19,0.2571,0.00012483059609778057
Red,75-100,Moderate,Survival,-0.0644,2.7783,98,46,0.551,0.803633385210179
Red,75-100,Tough,Closing,2.9311,2.3094,4,2,1.0,
Red,75-100,Tough,Open,-0.1067,2.5285,6,5,0.1667,0.9809737543752461
Red,75-100,Tough,Positioning,0.2307,4.8115,8,4,0.25,0.8157779327645631
Red,75-100,Tough,Survival,2.6162,1.8262,13,8,1.0,0.01193254200743993
Yellow,25-50,Calm,Closing,-0.3027,2.9909,334,145,0.476,0.6246854555330358
Yellow,25-50,Calm,Elimination,-0.1507,3.7285,17,10,0.1765,0.6496677837501489
Yellow,25-50,Calm,Mixed,0.1747,2.7169,64,44,0.4531,0.5796902754950105
Yellow,25-50,Calm,Open,-0.6146,2.8873,368,174,0.3668,0.11961382074082962
Yellow,25-50,Calm,Positioning,-0.5525,2.9267,259,127,0.3861,0.036269604769510126
Yellow,25-50,Calm,REMOVE,-1.5121,3.5137,32,23,0.25,0.011310512444983024
Yellow,25-50,Calm,Survival,-0.6871,2.9975,291,134,0.3986,0.01714738692395579
Yellow,25-50,Moderate,Closing,0.2161,2.39,231,100,0.5628,0.91248789591386
Yellow,25-50,Moderate,Open,0.4375,2.9139,230,121,0.5696,0.01810508912021904
Yellow,25-50,Moderate,Positioning,0.2187,2.9046,159,83,0.4843,0.9781192138642779
Yellow,25-50,Moderate,REMOVE,1.0896,3.3595,40,20,0.6,0.2182970766173566
Yellow,25-50,Moderate,Survival,0.0713,3.0248,373,142,0.4799,0.7176250460991084
Yellow,25-50,Tough,Closing,-0.1203,2.4349,8,7,0.25,0.39093210262512273
Yellow,25-50,Tough,Open,-0.0445,2.3804,18,11,0.5,0.8927464970007654
Yellow,25-50,Tough,Positioning,0.8946,3.2482,17,11,0.5882,0.5299602690879436
Yellow,25-50,Tough,Survival,0.3573,3.3769,21,16,0.4286,0.6738167463030457
Yellow,50-75,Calm,Closing,-0.2426,2.9373,2377,323,0.4552,0.7882531033006565
Yellow,50-75,Calm,Elimination,0.1832,3.2049,151,58,0.3974,0.9478019439512062
Yellow,50-75,Calm,Mixed,0.0096,3.3147,443,168,0.4131,0.6703028633549954
