player_a,player_b,score_a,score_b,prediction,actual_winner,correct
Sebastian Munoz,Joaquin Niemann,0.16999999999999998,0.044999999999999984,Sebastian Munoz,Joaquin Niemann,False
Thomas Pieters,Anthony Kim,1.105,0.044999999999999984,Thomas Pieters,Anthony Kim,False
David Puig,Tyrrell Hatton,0.16999999999999998,-3.1399999999999997,David Puig,Tyrrell Hatton,False
Jon Rahm,Bryson DeChambeau,0.98,1.065,Bryson DeChambeau,Push,
Cameron Smith,Lucas Herbert,1.065,0.044999999999999984,Cameron Smith,Cameron Smith,True
Byeong-Hun An,Branden Grace,1.1949999999999998,-3.005,Byeong-Hun An,Branden Grace,False
Richard Bland,Charl Schwartzel,-0.735,1.1949999999999998,Charl Schwartzel,Push,
Dean Burmester,Thomas Pieters,-0.735,-0.735,Thomas Pieters,Push,
Bryson DeChambeau,Tyrrell Hatton,0.7949999999999999,0.44999999999999996,Bryson DeChambeau,Bryson DeChambeau,True
Thomas Detry,Marc Leishman,-3.005,-1.135,Marc Leishman,Push,
Sergio Garcia,Talor Gooch,1.1949999999999998,1.1949999999999998,Talor Gooch,Talor Gooch,True
Lucas Herbert,Cameron Smith,-0.735,0.44999999999999996,Cameron Smith,Cameron Smith,True
Anirban Lahiri,Jason Kokrak,1.1949999999999998,1.1949999999999998,Jason Kokrak,Push,
Sebastian Munoz,Joaquin Niemann,-2.7699999999999996,1.1949999999999998,Joaquin Niemann,Joaquin Niemann,True
Victor Perez,Dustin Johnson,0.44999999999999996,-0.735,Victor Perez,Victor Perez,True
Jon Rahm,David Puig,0.7949999999999999,-2.7699999999999996,Jon Rahm,Jon Rahm,True
Elvis Smylie,Abraham Ancer,0.7949999999999999,0.7949999999999999,Abraham Ancer,Elvis Smylie,False
Caleb Surratt,Anthony Kim,-3.005,1.1949999999999998,Anthony Kim,Push,
Peter Uihlein,Paul Casey,0.44999999999999996,-0.735,Peter Uihlein,Paul Casey,False
Harold Varner III,Jose Luis Ballester,0.7949999999999999,0.7949999999999999,Jose Luis Ballester,Harold Varner III,False
Matthew Wolff,Richard T. Lee,-0.735,1.1949999999999998,Richard T. Lee,Richard T. Lee,True
Christiaan Bezuidenhout,Thorbjorn Olesen,-4.81,-4.81,Thorbjorn Olesen,Christiaan Bezuidenhout,False
Bud Cauley,Mac Meissner,-1.78,-1.795,Bud Cauley,Bud Cauley,True
