player_a,player_b,player_c,condition,round_type,color_a,color_b,color_c,exec_a,exec_b,exec_c,upside_a,upside_b,upside_c,score_a,score_b,score_c,best_player,best_vs_second,filter_0pct,filter_0.5pct,filter_1pct,filter_2pct,filter_5pct,filter_8pct,actual_winner,result_type,win_indicator,pl
Sam Stevens,Ryan Fox,Aldrich Potgieter,Tough,Open,Yellow,Green,Yellow,50,48,25,75.0,78.0,50.0,-0.5319148936170224,4.937862468931233,11.986426999266325,C,7.048564530335091,True,True,True,True,True,False,Ryan Fox,LOSS,0,-100.0
Manuel Elvira,Marcus Kinhult,Sam Bairstow,Calm,Open,Green,Yellow,Yellow,75,75,50,50.0,69.0,25.0,-7.936829431588663,-5.01811508652674,1.9508504707498648,C,6.968965557276605,True,True,True,True,True,False,Sam Bairstow,WIN,1,160.0
Darius van Driel,Ryan Van Velzen,Austin Bautista,Calm,Open,Yellow,Yellow,Green,75,52,75,50.0,45.0,50.0,-5.01811508652674,1.9508504707498648,-7.936829431588663,B,6.968965557276605,True,True,True,True,True,False,Ryan Van Velzen,WIN,1,145.0
Peter Malnati,Brice Garnett,Lanto Griffin,Calm,Open,Yellow,Yellow,Yellow,75,57,50,50.0,66.0,25.0,-5.01811508652674,-6.103294108272843,1.9508504707498648,C,6.968965557276605,True,True,True,True,True,False,Lanto Griffin,WIN,1,150.0
Taylor Pendrith,Matt McCarty,Jhonattan Vegas,Tough,Open,Yellow,Green,Yellow,25,73,25,75.0,69.0,50.0,5.071533382245045,2.012950450450452,11.986426999266325,C,6.91489361702128,True,True,True,True,True,False,,2WAY_PUSH_WIN,1,175.0
Matt McCarty,Jhonattan Vegas,Taylor Pendrith,Tough,Open,Green,Yellow,Yellow,50,40,25,50.0,52.0,75.0,2.012950450450452,11.986426999266325,5.071533382245045,B,6.91489361702128,True,True,True,True,True,False,,2WAY_PUSH_WIN,1,150.0
Jeong Weon Ko,Herman Loubser,Sam Bairstow,Moderate,Open,Blue,Yellow,Yellow,50,60,75,50.0,73.0,75.0,-7.004717196146538,-8.127067722374239,-0.120672389932154,C,6.884044806214384,True,True,True,True,True,False,Sam Bairstow,WIN,1,110.0
David Puig,Lee Westwood,Louis Oosthuizen,Moderate,Open,Yellow,Yellow,Yellow,50,56,50,25.0,69.0,25.0,-14.882386606837976,-8.127067722374239,-14.882386606837976,B,6.755318884463737,True,True,True,True,True,False,Lee Westwood,WIN,1,333.0
Adam Schenk,Garrick Higgo,Matt McCarty,Moderate,Open,Purple,Blue,Yellow,25,31,50,75.0,46.0,75.0,-2.201781955537615,-13.99490841106625,-8.815040377057523,A,6.613258421519908,True,True,True,True,True,False,Matt McCarty,LOSS,0,-100.0
Adam Schenk,Garrick Higgo,Matt McCarty,Moderate,Open,Purple,Blue,Yellow,25,31,50,75.0,46.0,75.0,-2.201781955537615,-13.99490841106625,-8.815040377057523,A,6.613258421519908,True,True,True,True,True,False,Matt McCarty,LOSS,0,-100.0
