player_a,player_b,condition,round_type,score_a,score_b,winner_score,loser_score,difference,prediction,actual_winner,correct
Alejandro Del Rey,Romain Langasque,Calm,Positioning,3.3785,0.8724999999999999,3.3785,0.8724999999999999,2.506,Alejandro Del Rey,Romain Langasque,False
Angel Ayora,Jayden Schaper,Calm,Positioning,-0.604,0.8724999999999999,0.8724999999999999,-0.604,1.4765,Jayden Schaper,Jayden Schaper,True
Andy Sullivan,Sam Bairstow,Calm,Positioning,0.8724999999999999,3.1405,3.1405,0.8724999999999999,2.268,Sam Bairstow,Sam Bairstow,True
Branden Grace,Dean Burmester,Calm,Positioning,-0.604,3.3785,3.3785,-0.604,3.9825,Dean Burmester,Push,
Daniel van Tonder,Rafa Cabrera Bello,Calm,Positioning,3.1405,0.8724999999999999,3.1405,0.8724999999999999,2.268,Daniel van Tonder,Daniel van Tonder,True
Kieron van Wyk,Joe Dean,Calm,Positioning,3.3785,3.1405,3.3785,3.1405,0.238,Kieron van Wyk,Joe Dean,False
Hennie du Plessis,Nathan Kimsey,Calm,Positioning,3.3785,3.1405,3.3785,3.1405,0.238,Hennie du Plessis,Hennie du Plessis,True
Francesco Laporta,Frederic Lacroix,Calm,Positioning,2.1225,-2.1885,2.1225,-2.1885,4.311,Francesco Laporta,,False
Casey Jarvis,Calum Hill,Calm,Positioning,3.3785,3.3785,3.3785,3.3785,0.0,Calum Hill,Calum Hill,True
Andrew Novak,Brian Harman,Calm,Positioning,3.1405,0.8724999999999999,3.1405,0.8724999999999999,2.268,Andrew Novak,Andrew Novak,True
