player_a,player_b,condition,round_type,score_a,score_b,gap,recommendation,color_a,color_b,exec_a,exec_b,upside_a,upside_b,exec_a_bucket,exec_b_bucket,upside_a_bucket,upside_b_bucket,exec_a_roi,exec_b_roi,upside_a_roi,upside_b_roi
Antoine Rozner,JC Ritchie,Calm,Open,-13.47647287232165,-4.599156562439124,-8.877316309882527,BET B,Orange,Green,25,25,50,75,25-50,25-50,50-75,75-100,-15.048183839881396,-3.812316715542521,-11.904761904761903,-5.385996409335728
Daniel van Tonder,Richard Sterne,Tough,Survival,7.094155844155843,-1.7156862745098027,8.809842118665646,BET A,Yellow,Purple,50,50,75,75,50-75,50-75,75-100,75-100,9.642857142857142,-0.4901960784313715,4.545454545454542,-2.9411764705882337
Garrick Higgo,Rico Hoey,Moderate,Open,-7.18010032898105,1.6129032258064513,-8.793003554787502,BET B,Yellow,Brown,25,25,50,50,25-50,25-50,50-75,50-75,-8.117752007136486,0.0,-6.2424486508256125,3.2258064516129026
David Puig,Dean Burmester,Calm,Open,-6.2880345882637325,2.4589210073081063,-8.746955595571839,BET B,Blue,Green,50,25,50,25,50-75,25-50,50-75,25-50,-7.70901194353963,-3.812316715542521,-4.867057232987835,8.730158730158733
Cameron Young,Chris Gotterup,Moderate,Survival,-10.191804927099046,-1.5161052856121102,-8.675699641486936,BET B,Orange,Blue,50,50,75,75,50-75,50-75,75-100,75-100,-9.222222222222223,-2.161383285302594,-11.161387631975868,-0.8708272859216265
Dylan Wu,Matti Schmid,Calm,Survival,3.2761778451433616,-5.327741534638085,8.603919379781447,BET A,Red,Yellow,25,75,75,75,25-50,75-100,75-100,75-100,5.911330049261081,-3.448275862068965,0.6410256410256424,-7.207207207207206
John Parry,Matt Wallace,Moderate,Positioning,4.8391837818361125,13.384615384615385,-8.545431602779272,BET B,Green,Red,50,50,50,50,50-75,50-75,50-75,50-75,3.917050691244242,10.76923076923077,5.761316872427982,16.0
Aaron Cockerill,David Law,Calm,Closing,5.120121576615903,-3.355712901476562,8.475834478092464,BET A,Green,Orange,25,25,75,50,25-50,25-50,75-100,50-75,-2.1857923497267757,-2.7842227378190247,12.426035502958582,-3.927203065134099
Taylor Pendrith,Rico Hoey,Moderate,Open,-6.733965938943744,1.6129032258064513,-8.346869164750196,BET B,Orange,Brown,50,25,50,50,50-75,25-50,50-75,50-75,-8.674698795180722,0.0,-4.793233082706765,3.2258064516129026
Ben Griffin,Wyndham Clark,Calm,Open,2.0411972361075694,-6.2880345882637325,8.329231824371302,BET A,Yellow,Blue,25,50,25,50,25-50,50-75,25-50,50-75,-5.797845048742943,-7.70901194353963,9.880239520958082,-4.867057232987835
Doug Ghim,Austin Eckroat,Calm,Open,2.0411972361075694,-6.2880345882637325,8.329231824371302,BET A,Yellow,Blue,25,50,25,50,25-50,50-75,25-50,50-75,-5.797845048742943,-7.70901194353963,9.880239520958082,-4.867057232987835
Justin Walters,Louis Albertse,Calm,Open,-6.2880345882637325,1.9508504707498648,-8.238885059013597,BET B,Blue,Yellow,50,50,50,25,50-75,50-75,50-75,25-50,-7.70901194353963,-5.978538579458352,-4.867057232987835,9.880239520958082
Francesco Laporta,Nathan Kimsey,Calm,Open,-6.2880345882637325,1.9508504707498648,-8.238885059013597,BET B,Blue,Yellow,50,50,50,25,50-75,50-75,50-75,25-50,-7.70901194353963,-5.978538579458352,-4.867057232987835,9.880239520958082
Nathan Kimsey,Francesco Laporta,Tough,Positioning,-1.2068965517241406,7.001340682258305,-8.208237233982445,BET B,Blue,Orange,50,25,75,75,50-75,25-50,75-100,75-100,9.655172413793103,5.839416058394161,-12.068965517241384,8.16326530612245
