player_a,player_b,player_c,recommendation,prediction,actual_winner,is_push,edge,result,correct
Ben Griffin,Sam Burns,Keegan Bradley,SLIGHT: B favored,Sam Burns,Sam Burns,False,4.870959067150574,WIN,True
Francesco Laporta,Joe Dean,Marcus Kinhult,SLIGHT: B favored,Joe Dean,Francesco Laporta,False,4.849148682168941,LOSS,False
Viktor Hovland,Russell Henley,Robert MacIntyre,SLIGHT: C favored,Robert MacIntyre,Russell Henley,False,4.838124440726401,LOSS,False
Erik van Rooyen,Keith Mitchell,Michael Kim,SLIGHT: B favored,Keith Mitchell,Keith Mitchell,False,4.838124440726401,WIN,True
Viktor Hovland,Russell Henley,Robert MacIntyre,SLIGHT: C favored,Robert MacIntyre,Russell Henley,False,4.838124440726401,LOSS,False
Ockie Strydom,Justin Harding,Johannes Veerman,SLIGHT: C favored,Johannes Veerman,Johannes Veerman,False,4.771438736246076,WIN,True
Taylor Moore,Harry Higgs,Hank Lebioda,SLIGHT: C favored,Hank Lebioda,Taylor Moore,False,4.766211352594019,LOSS,False
Jason Day,Alex Noren,Ryo Hisatsune,SLIGHT: A favored,Jason Day,Ryo Hisatsune,False,4.719977828508734,LOSS,False
Jason Day,Alex Noren,Ryo Hisatsune,SLIGHT: A favored,Jason Day,Ryo Hisatsune,False,4.719977828508734,LOSS,False
Jastas Madoya Asena,Davis Bryant,Callum Tarren,SLIGHT: C favored,Callum Tarren,Davis Bryant,False,4.648136291558098,LOSS,False
Yurav Premall,Felix Mory,Dismas Indiza Anyonyi,SLIGHT: A favored,Yurav Premall,Yurav Premall,False,4.648136291558098,WIN,True
Collin Morikawa,Ludvig Aberg,Si Woo Kim,SLIGHT: C favored,Si Woo Kim,,False,4.640041506641476,LOSS,False
Peter Uihlein,Cameron Smith,Byeong-Hun An,SLIGHT: C favored,Byeong-Hun An,Cameron Smith,False,4.608766672164808,LOSS,False
JJ Senekal,MJ Daffue,Jorge Campillo,SLIGHT: B favored,MJ Daffue,,True,4.558756115038163,PUSH,
Patrick Reed,Martin Couvra,Charl Schwartzel,SLIGHT: B favored,Martin Couvra,Patrick Reed,False,4.446769619893317,LOSS,False
Scottie Scheffler,Xander Schauffele,Si Woo Kim,SLIGHT: B favored,Xander Schauffele,,True,4.370028272953805,PUSH,
Scottie Scheffler,Xander Schauffele,Si Woo Kim,SLIGHT: B favored,Xander Schauffele,,True,4.370028272953805,PUSH,
Patrick Rodgers,Kevin Roy,Marco Penge,SLIGHT: A favored,Patrick Rodgers,Patrick Rodgers,False,4.150151786043117,WIN,True
