condition,round_type,gap,tithi,n,edge,roi,conf,mean_error
Moderate,Open,10-20,5.0,27,-14.814814814814813,-5.194805194805194,EXPLORATORY,0.7565366294674073
Tough,Open,-20--10,14.0,8,-37.5,-5.172413793103448,WEAK,1.55947666707375
Tough,Open,<-20,17.0,8,37.5,5.172413793103448,WEAK,-2.22104372891625
Calm,Open,-20--10,30.0,47,10.638297872340427,5.154639175257732,HIGH,-0.2592181749170213
Calm,Open,-20--10,23.0,184,-6.521739130434781,-5.128205128205127,HIGH,0.3651117840885869
Moderate,Open,0-10,22.0,48,-10.416666666666666,-5.1020408163265305,HIGH,0.09482002023687497
Calm,Open,-10-0,15.0,225,-6.222222222222218,-5.090909090909087,HIGH,0.41922764076048885
Calm,Open,0-10,21.0,70,-8.571428571428575,-5.000000000000003,HIGH,0.44025979915142854
Tough,Open,<-20,25.0,10,30.0,5.0,WEAK,-0.724528757246
Tough,Open,-10-0,29.0,10,30.000000000000004,5.0,WEAK,-1.1321277352
Tough,Open,<-20,27.0,10,30.0,5.0,WEAK,-1.9399848567140001
Moderate,Open,10-20,16.0,11,-27.27272727272727,-4.918032786885245,WEAK,1.3108842425727274
Calm,Open,0-10,14.0,73,8.21917808219178,4.878048780487805,HIGH,-0.15075470723972587
Moderate,Open,0-10,14.0,34,-11.764705882352944,-4.761904761904763,HIGH,0.2804021687335293
Moderate,Open,10-20,3.0,13,-23.076923076923077,-4.761904761904762,WEAK,1.269161659892308
Moderate,Open,<-20,11.0,118,6.779661016949151,4.761904761904761,HIGH,-1.2643636548327968
Calm,Open,0-10,18.0,35,-11.428571428571427,-4.705882352941176,HIGH,0.6068755867085714
Moderate,Open,10-20,14.0,14,-21.428571428571427,-4.6875,WEAK,0.9248935354571426
Tough,Open,<-20,23.0,14,21.428571428571427,4.6875,WEAK,-0.6937883437121428
Moderate,Open,-20--10,28.0,78,7.6923076923076925,4.6875,HIGH,-0.18007398842512828
Moderate,Open,0-10,26.0,58,8.620689655172411,4.629629629629629,HIGH,0.3740708751
Tough,Open,-10-0,3.0,15,20.0,4.615384615384616,EXPLORATORY,-0.48618037919000007
Moderate,Open,0-10,8.0,81,7.4074074074074066,4.580152671755725,HIGH,-0.9264218046860239
Calm,Open,-10-0,14.0,127,-6.299212598425194,-4.519774011299433,HIGH,0.2580399128322836
Moderate,Open,<-20,25.0,172,-5.813953488372095,-4.5045045045045065,HIGH,0.4054797427738372
Tough,Open,-10-0,23.0,17,-17.64705882352941,-4.477611940298507,EXPLORATORY,0.6210251471682353
Tough,Open,-10-0,26.0,17,-17.64705882352941,-4.477611940298507,EXPLORATORY,1.120216772940588
Calm,Open,<-20,18.0,85,-7.058823529411762,-4.444444444444443,HIGH,0.7662296044294118
Calm,Open,-20--10,20.0,131,-6.106870229007633,-4.419889502762431,HIGH,0.46861327511755696
Calm,Open,<-20,20.0,226,-5.3097345132743365,-4.3478260869565215,HIGH,0.08377943507699116
Calm,Open,0-10,1.0,42,-9.523809523809524,-4.3478260869565215,HIGH,0.6469700579190478
Moderate,Open,-20--10,25.0,65,7.6923076923076925,4.3478260869565215,HIGH,0.03605548465999999
Calm,Open,10-20,19.0,19,15.789473684210526,4.3478260869565215,EXPLORATORY,-0.5634579922989474
Moderate,Open,0-10,5.0,44,9.090909090909088,4.255319148936169,HIGH,-0.4995870188922727
Calm,Open,-20--10,21.0,93,-6.451612903225806,-4.195804195804195,HIGH,0.19664284873548393
Moderate,Open,<-20,23.0,169,-5.325443786982251,-4.109589041095893,HIGH,0.40370154768082844
Calm,Open,-10-0,20.0,194,-5.1546391752577305,-4.098360655737704,HIGH,0.21305471311958765
Calm,Open,-10-0,23.0,243,-4.938271604938271,-4.09556313993174,HIGH,0.5098493048115227
Moderate,Open,-20--10,12.0,48,-8.333333333333334,-4.081632653061225,HIGH,0.73462984275625
Moderate,Open,-10-0,15.0,146,-5.47945205479452,-4.081632653061225,HIGH,0.4601793192752055
Calm,Open,20+,3.0,2,-100.0,-3.8461538461538463,WEAK,4.8055515963
Tough,Open,-10-0,22.0,2,100.0,3.8461538461538463,WEAK,-3.07304756067
Tough,Open,-20--10,12.0,3,66.66666666666666,3.773584905660377,WEAK,-2.5063145873666666
Calm,Open,20+,29.0,4,-50.0,-3.7037037037037033,WEAK,3.7053760689999997
Moderate,Open,20+,21.0,4,50.0,3.7037037037037033,WEAK,-2.0340365354000003
Tough,Open,-20--10,29.0,4,-50.0,-3.7037037037037033,WEAK,3.180735296105
Tough,Open,-20--10,4.0,4,-50.0,-3.7037037037037033,WEAK,1.47717441395
Tough,Open,0-10,25.0,4,-50.0,-3.7037037037037033,WEAK,1.916547030965
Tough,Open,0-10,23.0,4,-50.0,-3.7037037037037033,WEAK,1.6563539605900002
Calm,Open,20+,14.0,4,-50.0,-3.7037037037037033,WEAK,1.4717272435000002
Calm,Open,20+,16.0,4,50.0,3.7037037037037033,WEAK,-0.444621213
Calm,Open,20+,30.0,4,50.0,3.7037037037037033,WEAK,-1.9424904060000001
Tough,Open,-20--10,11.0,5,40.0,3.6363636363636367,WEAK,-1.0187494470792
Tough,Open,-10-0,7.0,5,40.0,3.6363636363636367,WEAK,-1.2696757890400001
Tough,Open,-20--10,17.0,5,40.0,3.6363636363636367,WEAK,-1.7298413926200003
Calm,Open,0-10,19.0,61,-6.557377049180327,-3.6036036036036037,HIGH,0.6102830725362296
Moderate,Open,10-20,25.0,34,-8.823529411764708,-3.5714285714285725,HIGH,0.281330135567647
Tough,Open,<-20,12.0,6,-33.33333333333333,-3.5714285714285707,WEAK,0.9936854126333333
Tough,Open,<-20,29.0,6,33.33333333333333,3.5714285714285707,WEAK,-2.2236509476866666
Calm,Open,20+,21.0,6,-33.33333333333333,-3.5714285714285707,WEAK,2.2999729587666664
Tough,Open,-10-0,24.0,6,33.33333333333333,3.5714285714285707,WEAK,-0.3703450869039999
Calm,Open,20+,19.0,6,33.33333333333333,3.5714285714285707,WEAK,-1.3628877286333332
Moderate,Open,20+,5.0,7,28.57142857142857,3.5087719298245608,WEAK,-0.19315194009999986
Calm,Open,<-20,21.0,150,4.666666666666669,3.5000000000000018,HIGH,0.052346901103733356
Moderate,Open,10-20,29.0,8,25.0,3.4482758620689653,WEAK,-0.6918977210750001
Calm,Open,20+,18.0,8,-25.0,-3.4482758620689653,WEAK,1.3687322368000001
Moderate,Open,<-20,2.0,95,-5.263157894736842,-3.448275862068965,HIGH,0.2496480313184211
Moderate,Open,<-20,19.0,95,5.263157894736839,3.4482758620689635,HIGH,-0.16397437476094734
Moderate,Open,<-20,29.0,96,-5.208333333333331,-3.424657534246574,HIGH,0.4441396377911458
Moderate,Open,0-10,25.0,68,5.882352941176472,3.389830508474577,HIGH,-0.09859000465147053
Tough,Open,-10-0,4.0,9,22.22222222222222,3.3898305084745766,WEAK,-0.9910133700333333
Tough,Open,<-20,3.0,9,-22.22222222222222,-3.3898305084745766,WEAK,0.7323052538166666
Tough,Open,-20--10,3.0,9,-22.22222222222222,-3.3898305084745766,WEAK,1.3279641975133332
Tough,Open,-10-0,21.0,9,22.22222222222222,3.3898305084745766,WEAK,-0.9632442296688887
Calm,Open,20+,27.0,10,-20.0,-3.333333333333333,WEAK,0.37764106642
Tough,Open,<-20,24.0,10,19.999999999999996,3.3333333333333326,WEAK,-0.3870538783799999
Moderate,Open,10-20,2.0,11,-18.181818181818183,-3.2786885245901645,WEAK,0.2348444621545455
