ev_bucket,total_matchups,a_wins,ties,a_loss,p_a_win,p_tie,p_a_loss
16.75,355,133,33,189,0.4130434782608695,0.0929577464788732,0.5869565217391305
17.0,368,136,35,197,0.4084084084084084,0.0951086956521739,0.5915915915915916
17.25,322,110,38,174,0.3873239436619718,0.1180124223602484,0.6126760563380281
17.5,239,92,30,117,0.4401913875598086,0.1255230125523012,0.5598086124401914
17.75,267,77,31,159,0.326271186440678,0.1161048689138576,0.673728813559322
18.0,254,102,25,127,0.445414847161572,0.0984251968503937,0.5545851528384279
18.25,163,74,14,75,0.4966442953020134,0.0858895705521472,0.5033557046979866
18.5,192,59,18,115,0.3390804597701149,0.09375,0.6609195402298851
18.75,166,55,19,92,0.3741496598639456,0.1144578313253012,0.6258503401360545
19.0,190,75,26,89,0.4573170731707317,0.1368421052631579,0.5426829268292683
19.25,139,49,13,77,0.3888888888888889,0.0935251798561151,0.6111111111111112
19.5,208,69,25,114,0.3770491803278688,0.1201923076923077,0.6229508196721312
19.75,173,70,17,86,0.4487179487179487,0.0982658959537572,0.5512820512820513
20.0,113,40,10,63,0.3883495145631068,0.0884955752212389,0.6116504854368932
20.25,134,51,13,70,0.4214876033057851,0.0970149253731343,0.5785123966942148
20.5,144,42,12,90,0.3181818181818182,0.0833333333333333,0.6818181818181818
20.75,124,40,11,73,0.3539823008849557,0.0887096774193548,0.6460176991150443
21.0,109,37,6,66,0.3592233009708738,0.055045871559633,0.6407766990291263
21.25,99,32,8,59,0.3516483516483517,0.0808080808080808,0.6483516483516484
21.5,46,19,5,22,0.4634146341463415,0.108695652173913,0.5365853658536586
21.75,48,14,2,32,0.3043478260869565,0.0416666666666666,0.6956521739130435
22.0,59,17,6,36,0.320754716981132,0.1016949152542373,0.6792452830188679
22.25,41,8,1,32,0.2,0.024390243902439,0.8
22.5,47,7,3,37,0.1590909090909091,0.0638297872340425,0.8409090909090909
22.75,34,5,1,28,0.1515151515151515,0.0294117647058823,0.8484848484848485
23.0,39,8,4,27,0.2285714285714285,0.1025641025641025,0.7714285714285715
23.25,28,6,0,22,0.2142857142857142,0.0,0.7857142857142857
23.5,17,2,2,13,0.1333333333333333,0.1176470588235294,0.8666666666666667
23.75,13,4,1,8,0.3333333333333333,0.0769230769230769,0.6666666666666666
24.0,16,4,0,12,0.25,0.0,0.75
24.25,14,1,1,12,0.0769230769230769,0.0714285714285714,0.9230769230769232
24.5,18,5,1,12,0.2941176470588235,0.0555555555555555,0.7058823529411765
24.75,10,4,0,6,0.4,0.0,0.6
25.0,8,3,0,5,0.375,0.0,0.625
25.25,6,3,0,3,0.5,0.0,0.5
25.5,4,2,0,2,0.5,0.0,0.5
25.75,6,5,0,1,0.8333333333333334,0.0,0.1666666666666666
26.0,4,2,0,2,0.5,0.0,0.5
26.25,2,1,1,0,1.0,0.5,0.0
26.5,6,6,0,0,1.0,0.0,0.0
27.0,2,1,0,1,0.5,0.0,0.5
