player_a,player_b,color_a,color_b,condition,round_type,exec_ratio_a,upside_ratio_a,score_a,exec_ratio_b,upside_ratio_b,score_b,winner_score,loser_score,prediction,actual_winner,correct
Nicolai Hojgaard,Wyndham Clark,Purple,Green,Calm,Open,0.5589,0.5864,0.57265,0.5686,0.594,0.5812999999999999,0.5812999999999999,0.57265,Wyndham Clark,Nicolai Hojgaard,False
Daniel Berger,Kurt Kitayama,Yellow,Blue,Calm,Open,0.6272,0.6172,0.6222,0.5769,0.6295000000000001,0.6032,0.6222,0.6032,Daniel Berger,Daniel Berger,True
Jake Knapp,Chris Gotterup,Blue,Yellow,Calm,Open,0.6272,0.5646,0.5959,0.6222,0.6172,0.6196999999999999,0.6196999999999999,0.5959,Chris Gotterup,Chris Gotterup,True
Scottie Scheffler,Sam Burns,Orange,Orange,Calm,Open,0.6770999999999999,0.6406000000000001,0.6588499999999999,0.6089,0.6128,0.61085,0.6588499999999999,0.61085,Scottie Scheffler,Push,
Sahith Theegala,Sepp Straka,Orange,Green,Calm,Open,0.6089,0.6128,0.61085,0.6286,0.5884,0.6085,0.61085,0.6085,Sahith Theegala,Sahith Theegala,True
Harris English,Ben Griffin,Yellow,Purple,Calm,Open,0.6272,0.6148,0.621,0.6148,0.6264,0.6206,0.621,0.6206,Harris English,Harris English,True
Jordan Spieth,Nick Taylor,Orange,Green,Calm,Open,0.6770999999999999,0.6406000000000001,0.6588499999999999,0.5686,0.5884,0.5785,0.6588499999999999,0.5785,Jordan Spieth,Push,
Matt McCarty,Sam Stevens,Yellow,Green,Calm,Open,0.6061,0.6172,0.61165,0.6286,0.5884,0.6085,0.61165,0.6085,Matt McCarty,Sam Stevens,False
J.T. Poston,Keith Mitchell,Yellow,Purple,Calm,Open,0.6222,0.6172,0.6196999999999999,0.6148,0.6264,0.6206,0.6206,0.6196999999999999,Keith Mitchell,Keith Mitchell,True
Maverick McNealy,Viktor Hovland,Purple,Purple,Calm,Open,0.6148,0.6264,0.6206,0.6148,0.6264,0.6206,0.6206,0.6206,TIE,Maverick McNealy,
Collin Morikawa,Rickie Fowler,Yellow,Green,Calm,Open,0.6272,0.6172,0.6222,0.6286,0.5884,0.6085,0.6222,0.6085,Collin Morikawa,Rickie Fowler,False
Xander Schauffele,Hideki Matsuyama,Yellow,Green,Calm,Open,0.6272,0.6172,0.6222,0.6429,0.594,0.6184499999999999,0.6222,0.6184499999999999,Xander Schauffele,Hideki Matsuyama,False
Harry Hall,Min Woo Lee,Orange,Yellow,Calm,Open,0.6089,0.6128,0.61085,0.6272,0.6148,0.621,0.621,0.61085,Min Woo Lee,Min Woo Lee,True
Cameron Young,Si Woo Kim,Orange,Orange,Calm,Open,0.6770999999999999,0.6406000000000001,0.6588499999999999,0.6770999999999999,0.6406000000000001,0.6588499999999999,0.6588499999999999,0.6588499999999999,TIE,Si Woo Kim,
Rasmus Hojgaard,Michael Thorbjornsen,Purple,Yellow,Calm,Open,0.5589,0.5864,0.57265,0.6222,0.6172,0.6196999999999999,0.6196999999999999,0.57265,Michael Thorbjornsen,Michael Thorbjornsen,True
Christiaan Bezuidenhout,Max McGreevy,Green,Purple,Calm,Open,0.5686,0.594,0.5812999999999999,0.5589,0.5864,0.57265,0.5812999999999999,0.57265,Christiaan Bezuidenhout,Max McGreevy,False
Pierceson Coody,Nicolai Hojgaard,Green,Purple,Calm,Open,0.5686,0.594,0.5812999999999999,0.5589,0.5864,0.57265,0.5812999999999999,0.57265,Pierceson Coody,Pierceson Coody,True
