condition,round_type,tithi,zodiac,n,edge,roi,conf,mean_error
Moderate,Survival,22.0,Tiger,10,40.0,6.666666666666666,WEAK,-1.6364564229999998
Tough,Open,15.0,Pig,10,40.0,6.666666666666666,WEAK,-1.5192568012
Calm,Positioning,18.0,Snake,10,40.0,6.666666666666666,WEAK,-1.3859832159999999
Calm,Survival,24.0,Rooster,25,20.0,6.666666666666666,EXPLORATORY,-1.1087622830000001
Calm,Positioning,20.0,Snake,86,10.465116279069766,6.617647058823528,HIGH,-0.3897644104883721
Calm,Closing,14.0,Horse,71,11.267605633802818,6.611570247933885,HIGH,0.061883894338028274
Moderate,Positioning,10.0,Rabbit,11,36.36363636363637,6.557377049180329,WEAK,-1.683973675011818
Moderate,Closing,29.0,Goat,11,36.36363636363637,6.557377049180329,WEAK,-1.0823647527636362
Calm,Survival,8.0,Goat,11,36.36363636363636,6.557377049180327,WEAK,-1.1310514183636362
Moderate,Open,23.0,Dog,57,12.280701754385964,6.542056074766354,HIGH,-0.27609907024736835
Calm,Survival,29.0,Ox,42,14.285714285714285,6.521739130434781,HIGH,-0.15176678814285735
Moderate,Open,15.0,Rabbit,42,14.285714285714285,6.521739130434781,HIGH,-0.7443167063209526
Moderate,Open,29.0,Pig,58,12.068965517241379,6.481481481481482,HIGH,-0.24608975525517235
Moderate,Survival,3.0,Ox,89,10.112359550561797,6.474820143884892,HIGH,-0.3914597374808988
Moderate,Closing,24.0,Rat,43,13.953488372093027,6.451612903225808,HIGH,-0.44912557689534893
Moderate,Positioning,17.0,Dragon,74,10.81081081081081,6.451612903225807,HIGH,-0.05934049045783787
Moderate,Survival,16.0,Tiger,12,33.333333333333336,6.451612903225807,WEAK,-1.0387633800333334
Moderate,Closing,8.0,Dog,90,9.999999999999998,6.428571428571428,HIGH,-0.3834094312988888
Moderate,Open,21.0,Rabbit,28,17.85714285714286,6.4102564102564115,EXPLORATORY,-0.2877551156428572
Calm,Open,8.0,Monkey,60,11.666666666666664,6.3636363636363615,HIGH,0.11861769486666675
Moderate,Positioning,14.0,Tiger,13,30.76923076923077,6.349206349206349,WEAK,-0.8617078848923074
Moderate,Survival,26.0,Rooster,13,30.76923076923077,6.349206349206349,WEAK,-1.575889321284616
Moderate,Survival,26.0,Rat,76,10.526315789473683,6.349206349206348,HIGH,-0.21378214888684202
Calm,Open,23.0,Rat,171,8.187134502923977,6.334841628959277,HIGH,-0.09681220159239765
Calm,Open,27.0,Monkey,45,13.333333333333334,6.315789473684211,HIGH,0.07834623203777785
Moderate,Closing,16.0,Pig,45,13.333333333333334,6.315789473684211,HIGH,0.024927039360000118
Calm,Closing,24.0,Rabbit,62,11.29032258064516,6.25,HIGH,-0.4077214343225806
Moderate,Positioning,11.0,Rooster,14,28.57142857142857,6.25,WEAK,-0.44254910742857134
Moderate,Survival,21.0,Horse,14,28.57142857142857,6.25,WEAK,-0.7343673665857143
Moderate,Open,7.0,Horse,14,28.57142857142857,6.25,WEAK,-1.0963999302857141
Calm,Positioning,19.0,Horse,30,16.666666666666668,6.25,HIGH,-0.4833350381666665
Calm,Closing,24.0,Monkey,30,16.666666666666668,6.25,HIGH,-0.5382324030000001
Moderate,Positioning,4.0,Rabbit,30,16.666666666666664,6.249999999999999,HIGH,0.4247745534333334
Moderate,Survival,21.0,Pig,47,12.76595744680851,6.185567010309279,HIGH,-0.5795024126361704
Moderate,Open,8.0,Rooster,48,12.499999999999996,6.122448979591835,HIGH,0.21656964613541674
Moderate,Positioning,8.0,Rabbit,32,15.625,6.097560975609756,HIGH,-0.2805089732989868
Moderate,Survival,8.0,Rabbit,65,10.76923076923077,6.086956521739131,HIGH,-0.2873880764832992
Moderate,Open,9.0,Dragon,16,25.0,6.0606060606060606,EXPLORATORY,-0.8695891686000001
Moderate,Closing,24.0,Monkey,16,25.0,6.0606060606060606,EXPLORATORY,-1.2224029940000003
Calm,Positioning,5.0,Rabbit,33,15.151515151515152,6.024096385542169,HIGH,-0.2738361123636363
Calm,Closing,7.0,Rabbit,50,12.000000000000002,6.000000000000001,HIGH,-0.44150065599600014
Calm,Survival,15.0,Rabbit,50,12.0,6.0,HIGH,-0.47848447832399976
Moderate,Positioning,13.0,Tiger,34,14.70588235294118,5.952380952380953,HIGH,-0.6811962095676469
Calm,Closing,12.0,Pig,34,14.705882352941174,5.952380952380952,HIGH,-0.2845061572382353
Calm,Closing,5.0,Ox,51,11.764705882352944,5.940594059405942,HIGH,0.01635784729411756
Calm,Positioning,27.0,Horse,51,11.764705882352938,5.94059405940594,HIGH,-0.1891439160156864
Moderate,Closing,17.0,Dragon,85,9.411764705882353,5.9259259259259265,HIGH,0.1452744512296472
Calm,Positioning,28.0,Pig,69,10.144927536231885,5.882352941176472,HIGH,-0.6501591282173914
Moderate,Positioning,9.0,Horse,18,22.222222222222225,5.882352941176471,EXPLORATORY,-0.7875165063111113
Calm,Survival,8.0,Snake,52,11.538461538461538,5.88235294117647,HIGH,-0.3160175544615382
Moderate,Survival,9.0,Goat,36,13.888888888888888,5.813953488372093,HIGH,-0.2115303876277778
Calm,Positioning,11.0,Rat,71,9.859154929577466,5.78512396694215,HIGH,-0.3409989552394367
Calm,Positioning,8.0,Dragon,54,11.11111111111111,5.769230769230769,HIGH,-0.04189919084259257
Calm,Positioning,8.0,Rat,141,7.801418439716315,5.759162303664923,HIGH,0.0025081487375885657
Moderate,Survival,1.0,Horse,20,20.0,5.7142857142857135,EXPLORATORY,-0.23925520950749984
Calm,Closing,18.0,Ox,20,20.0,5.7142857142857135,EXPLORATORY,-1.0927161380000001
Calm,Open,21.0,Rat,73,9.58904109589041,5.691056910569105,HIGH,-0.4808821017013699
Tough,Survival,23.0,Rabbit,3,100.0,5.660377358490567,WEAK,-4.044765168633333
Tough,Survival,12.0,Horse,3,100.0,5.660377358490567,WEAK,-3.4062430041666665
Moderate,Closing,15.0,Snake,3,100.0,5.660377358490567,WEAK,-2.4457846280333335
Tough,Survival,10.0,Rat,3,100.0,5.660377358490567,WEAK,-4.212213153366666
Moderate,Survival,28.0,Dog,3,100.0,5.660377358490567,WEAK,-25.58046566336667
Calm,Survival,24.0,Horse,3,100.0,5.660377358490567,WEAK,-5.198492876666667
Tough,Positioning,14.0,Horse,3,100.0,5.660377358490567,WEAK,-4.324622990353333
Tough,Closing,8.0,Snake,3,100.0,5.660377358490567,WEAK,-2.8092280787666666
Tough,Positioning,13.0,Tiger,3,100.0,5.660377358490567,WEAK,-3.2659335547
Tough,Positioning,27.0,Snake,21,19.047619047619047,5.633802816901408,EXPLORATORY,-0.1816089136447619
Moderate,Open,23.0,Ox,39,12.820512820512823,5.617977528089889,HIGH,-0.7792893221051285
Moderate,Survival,3.0,Pig,39,12.82051282051282,5.617977528089887,HIGH,-1.1818594203333335
Calm,Closing,14.0,Tiger,22,18.181818181818183,5.555555555555556,EXPLORATORY,-1.6364241172727267
Calm,Closing,16.0,Dragon,22,18.181818181818183,5.555555555555556,EXPLORATORY,-0.8012890328909091
Calm,Open,26.0,Horse,58,10.344827586206895,5.555555555555555,HIGH,-0.624179089275862
Moderate,Closing,16.0,Rabbit,4,75.0,5.555555555555555,WEAK,-2.9745731145
Tough,Positioning,10.0,Goat,4,75.0,5.555555555555555,WEAK,-2.009193576848
Tough,Open,15.0,Rabbit,4,75.0,5.555555555555555,WEAK,-2.1948002181
Tough,Open,17.0,Rabbit,4,75.0,5.555555555555555,WEAK,-3.3395421710999997
Calm,Survival,2.0,Ox,4,75.0,5.555555555555555,WEAK,-3.095014787
Calm,Survival,20.0,Tiger,59,10.16949152542373,5.5045871559633035,HIGH,-0.7128688567457626
Calm,Positioning,8.0,Rabbit,59,10.16949152542373,5.5045871559633035,HIGH,-0.21139132271186445
Calm,Survival,9.0,Dragon,23,17.39130434782609,5.479452054794521,EXPLORATORY,-0.42435284244782595
Calm,Survival,22.0,Rat,96,8.333333333333334,5.47945205479452,HIGH,0.3300399954166667
Tough,Positioning,25.0,Snake,5,60.00000000000001,5.454545454545455,WEAK,-1.05222962663
Moderate,Closing,9.0,Rabbit,5,60.0,5.454545454545455,WEAK,-1.62406532181
Moderate,Positioning,18.0,Rabbit,5,60.0,5.454545454545455,WEAK,-2.40009957592371
Tough,Survival,15.0,Rabbit,5,60.0,5.454545454545455,WEAK,-1.4948002181000002
Moderate,Positioning,4.0,Dragon,5,60.0,5.454545454545455,WEAK,-1.1297600574
Moderate,Positioning,18.0,Rooster,5,60.0,5.454545454545455,WEAK,-2.5728200594
Tough,Positioning,29.0,Dragon,5,60.0,5.454545454545455,WEAK,-2.00567221892
Moderate,Positioning,25.0,Pig,24,16.666666666666668,5.405405405405406,EXPLORATORY,-0.7949110507333336
Calm,Closing,19.0,Rabbit,43,11.627906976744185,5.376344086021505,HIGH,-0.16380550674418598
Tough,Positioning,23.0,Monkey,6,50.0,5.357142857142857,WEAK,-11.458092167916668
Calm,Survival,17.0,Rooster,6,50.0,5.357142857142857,WEAK,-1.6023289625166666
Calm,Survival,26.0,Pig,6,50.0,5.357142857142857,WEAK,-2.244961979
Tough,Positioning,15.0,Tiger,6,50.0,5.357142857142857,WEAK,-1.0335738764600002
Moderate,Positioning,29.0,Horse,25,15.999999999999998,5.333333333333332,EXPLORATORY,-0.244679309
Calm,Positioning,4.0,Dragon,7,42.857142857142854,5.263157894736842,WEAK,-2.007689978928571
Tough,Survival,29.0,Pig,7,42.857142857142854,5.263157894736842,WEAK,-1.3371869612342855
