condition,round_type,color,exec_bucket,upside_bucket,gap_bucket,n,good,bad,good_rate,bad_rate,edge,avg_off_par,consistency,confidence
Moderate,Open,Yellow,50-75,50-75,-10-0,664,229,181,34.48795180722892,27.259036144578314,7.2289156626506035,-0.39457831325301207,5.014401654698405,HIGH
Moderate,Open,Orange,50-75,50-75,0-10,63,20,16,31.746031746031743,25.396825396825395,6.349206349206349,-1.4603174603174602,6.731786411101456,HIGH
Moderate,Open,Green,75-100,50-75,0-10,77,26,22,33.76623376623377,28.57142857142857,5.1948051948051965,-0.45454545454545453,3.915372720529919,HIGH
Moderate,Open,Yellow,50-75,75-100,-20--10,305,107,93,35.08196721311476,30.491803278688522,4.590163934426234,-0.09836065573770492,3.529504018909678,HIGH
Moderate,Open,Green,25-50,50-75,<-20,89,36,32,40.44943820224719,35.95505617977528,4.49438202247191,-0.14606741573033707,3.4724583962353375,HIGH
Moderate,Open,Yellow,75-100,50-75,10-20,136,48,42,35.294117647058826,30.88235294117647,4.411764705882354,0.14705882352941177,3.63018091940681,HIGH
Moderate,Open,Blue,50-75,75-100,-20--10,169,44,37,26.035502958579883,21.893491124260358,4.142011834319526,0.1893491124260355,2.591125914037186,HIGH
Moderate,Open,Blue,50-75,50-75,0-10,109,34,30,31.19266055045872,27.522935779816514,3.669724770642202,0.06422018348623854,3.070997031240042,HIGH
Moderate,Open,Purple,75-100,50-75,10-20,75,25,23,33.33333333333333,30.666666666666664,2.666666666666667,-0.08,3.025834707262721,HIGH
Moderate,Open,Orange,50-75,75-100,<-20,284,89,86,31.338028169014088,30.28169014084507,1.0563380281690182,0.13732394366197184,3.044803466417275,HIGH
Moderate,Open,Yellow,50-75,50-75,0-10,280,81,80,28.92857142857143,28.57142857142857,0.3571428571428614,0.08571428571428572,2.872401650925516,HIGH
Moderate,Open,Yellow,25-50,50-75,-10-0,135,41,41,30.37037037037037,30.37037037037037,0.0,-0.17037037037037037,3.9804386256852244,HIGH
Moderate,Open,Blue,50-75,50-75,-10-0,205,70,70,34.146341463414636,34.146341463414636,0.0,0.05853658536585366,3.3601598650224798,HIGH
Moderate,Open,Red,50-75,50-75,10-20,24,5,5,20.833333333333336,20.833333333333336,0.0,0.7916666666666666,3.4638401241681325,EXPLORATORY
Moderate,Open,Yellow,25-50,50-75,<-20,348,114,121,32.758620689655174,34.770114942528735,-2.0114942528735638,-0.040229885057471264,3.432106746494761,HIGH
Moderate,Open,Yellow,50-75,75-100,<-20,495,158,168,31.91919191919192,33.939393939393945,-2.020202020202022,0.030303030303030304,3.4502084237182054,HIGH
Moderate,Open,Purple,25-50,50-75,-10-0,46,13,14,28.26086956521739,30.434782608695656,-2.173913043478265,0.06521739130434782,2.576838492874066,HIGH
Moderate,Open,Purple,50-75,50-75,10-20,32,13,14,40.625,43.75,-3.125,0.25,2.9729967503210215,HIGH
Moderate,Open,Yellow,50-75,50-75,10-20,25,10,11,40.0,44.0,-3.9999999999999982,0.28,3.409789827345179,EXPLORATORY
Moderate,Open,Blue,50-75,75-100,<-20,360,108,123,30.0,34.166666666666664,-4.166666666666669,0.4527777777777778,3.265075266581267,HIGH
Moderate,Open,Orange,25-50,25-50,-20--10,77,21,25,27.27272727272727,32.467532467532465,-5.1948051948051965,0.37662337662337664,2.6854332250660136,HIGH
Moderate,Open,Blue,25-50,50-75,-20--10,68,19,23,27.941176470588236,33.82352941176471,-5.882352941176472,0.7205882352941176,3.733053602756536,HIGH
Moderate,Open,Orange,25-50,50-75,-20--10,110,25,32,22.727272727272727,29.09090909090909,-6.363636363636363,0.38181818181818183,2.6818514013859773,HIGH
Moderate,Open,Yellow,50-75,75-100,-10-0,250,62,82,24.8,32.800000000000004,-8.000000000000002,0.392,3.2149150400686235,HIGH
Moderate,Open,Red,50-75,50-75,-10-0,56,15,20,26.785714285714285,35.714285714285715,-8.92857142857143,0.08928571428571429,3.3913086008168034,HIGH
Moderate,Open,Purple,25-50,50-75,-20--10,20,7,9,35.0,45.0,-10.000000000000004,-0.5,2.7434131641941364,EXPLORATORY
Moderate,Open,Green,50-75,75-100,<-20,99,25,36,25.252525252525253,36.36363636363637,-11.11111111111111,-0.06060606060606061,3.3770479253583265,HIGH
