player_a,player_b,condition,round_type,prediction,actual_winner,gap,score_a,score_b,result,correct
Francesco Laporta,Thriston Lawrence,Moderate,Open,SKIP,Francesco Laporta,2.438259551103861,2.438259551103861,0.0,SKIP,
Kieran Vincent,Jorge Campillo,Moderate,Open,SKIP,Kieran Vincent,-0.12067238993215401,-0.12067238993215401,0.0,SKIP,
Daniel Bennett,Joel Dahmen,Calm,Open,SKIP,Daniel Bennett,-6.564241027910402,-6.564241027910402,0.0,SKIP,
Jhonattan Vegas,Tom Hoge,Calm,Open,SKIP,Jhonattan Vegas,-6.564241027910402,-6.564241027910402,0.0,SKIP,
Ryan Fox,Billy Horschel,Calm,Open,SKIP,Ryan Fox,-5.569408771522003,-5.569408771522003,0.0,SKIP,
Brian Campbell,Patrick Rodgers,Calm,Open,Patrick Rodgers,Brian Campbell,-10.621714015079947,-10.621714015079947,0.0,LOSS,False
Matt McCarty,Max Greyserman,Calm,Open,SKIP,Max Greyserman,-6.654587793268107,-6.654587793268107,0.0,SKIP,
Taylor Moore,Andrew Putnam,Calm,Open,SKIP,Taylor Moore,-5.569408771522003,-5.569408771522003,0.0,SKIP,
Daniel Berger,Alex Noren,Calm,Open,SKIP,Daniel Berger,-6.119999625799575,-6.119999625799575,0.0,SKIP,
Min Woo Lee,Michael Thorbjornsen,Calm,Open,Michael Thorbjornsen,Min Woo Lee,-11.386304863573269,-11.386304863573269,0.0,LOSS,False
Harry Hall,Corey Conners,Calm,Open,SKIP,Corey Conners,-5.569408771522003,-5.569408771522003,0.0,SKIP,
Cameron Young,Sepp Straka,Calm,Open,SKIP,Cameron Young,-6.0129473429151385,-6.0129473429151385,0.0,SKIP,
Harris English,Patrick Cantlay,Calm,Open,Patrick Cantlay,Harris English,-10.453679052615788,-10.453679052615788,0.0,LOSS,False
Andrew Novak,Robert MacIntyre,Calm,Open,SKIP,Robert MacIntyre,-5.569408771522003,-5.569408771522003,0.0,SKIP,
Brian Harman,Akshay Bhatia,Calm,Open,SKIP,Akshay Bhatia,-6.0129473429151385,-6.0129473429151385,0.0,SKIP,
Collin Morikawa,Justin Rose,Calm,Open,SKIP,Collin Morikawa,-6.119999625799575,-6.119999625799575,0.0,SKIP,
Xander Schauffele,Shane Lowry,Calm,Open,SKIP,Xander Schauffele,-6.759287348831288,-6.759287348831288,0.0,SKIP,
Scottie Scheffler,Russell Henley,Calm,Open,SKIP,Push,-6.0129473429151385,-6.0129473429151385,0.0,PUSH,
Aldrich Potgieter,Adam Scott,Calm,Open,SKIP,Adam Scott,-6.564241027910402,-6.564241027910402,0.0,SKIP,
J.T. Poston,Keith Mitchell,Calm,Open,SKIP,Keith Mitchell,-6.103294108272843,-6.103294108272843,0.0,SKIP,
Nicolai Hojgaard,Austin Smotherman,Calm,Open,Austin Smotherman,nan,-10.453679052615788,-10.453679052615788,0.0,LOSS,False
Si Woo Kim,Bud Cauley,Calm,Open,SKIP,Bud Cauley,-6.0129473429151385,-6.0129473429151385,0.0,SKIP,
Lucas Glover,Ryo Hisatsune,Calm,Open,Ryo Hisatsune,Ryo Hisatsune,-9.789553822772817,-9.789553822772817,0.0,WIN,True
Ryan Gerard,Jason Day,Calm,Open,SKIP,Jason Day,-2.801460773912223,-2.801460773912223,0.0,SKIP,
Taylor Pendrith,Denny McCarthy,Calm,Open,SKIP,Denny McCarthy,-5.569408771522003,-5.569408771522003,0.0,SKIP,
Kurt Kitayama,Pierceson Coody,Calm,Open,Pierceson Coody,Kurt Kitayama,-10.453679052615788,-10.453679052615788,0.0,LOSS,False
Jordan Spieth,Sam Stevens,Calm,Open,SKIP,Jordan Spieth,-6.0129473429151385,-6.0129473429151385,0.0,SKIP,
