condition,round_type,color,upside_bucket,n,good,bad,good_rate,bad_rate,edge,roi,confidence,mean_error
Calm,Survival,Purple,75-100,543,131,145,24.12523020257827,26.703499079189687,-2.5782688766114177,-2.360876897133221,HIGH,0.1767567909235175
Moderate,Survival,Red,50-75,161,47,52,29.19254658385093,32.298136645962735,-3.105590062111805,-2.3696682464455003,HIGH,0.12480792264546588
Calm,Closing,Green,50-75,829,188,210,22.67792521109771,25.331724969843183,-2.6537997587454747,-2.5028441410693953,HIGH,0.07306950377987936
Moderate,REMOVE,Red,50-75,28,8,10,28.57142857142857,35.714285714285715,-7.142857142857146,-2.564102564102565,EXPLORATORY,0.4288159774585716
Calm,Mixed,Blue,50-75,106,37,41,34.90566037735849,38.67924528301887,-3.7735849056603854,-2.5641025641025696,HIGH,-0.2553440091973585
Calm,Survival,Purple,25-50,103,25,29,24.271844660194176,28.155339805825243,-3.8834951456310662,-2.6143790849673194,HIGH,0.6348667064970872
Moderate,Open,Purple,25-50,64,15,18,23.4375,28.125,-4.6875,-2.631578947368421,HIGH,0.3741267364515626
Calm,Elimination,Green,75-100,26,2,4,7.6923076923076925,15.384615384615385,-7.6923076923076925,-2.6315789473684212,EXPLORATORY,0.18329426625769224
Moderate,Positioning,Blue,25-50,88,25,29,28.40909090909091,32.95454545454545,-4.545454545454543,-2.8985507246376794,HIGH,0.5437230252617045
Moderate,Closing,Yellow,50-75,1391,366,408,26.312005751258088,29.331416247304098,-3.01941049604601,-2.914642609299098,HIGH,0.18014057303336373
Tough,Survival,Purple,75-100,52,10,13,19.230769230769234,25.0,-5.7692307692307665,-2.9411764705882337,HIGH,0.012920322349480765
Calm,Positioning,Orange,75-100,559,125,143,22.361359570661897,25.581395348837212,-3.2200357781753155,-2.955665024630544,HIGH,0.201018125190483
Calm,Open,Blue,25-50,186,40,47,21.50537634408602,25.268817204301076,-3.7634408602150557,-2.9661016949152557,HIGH,0.22997071289693546
Calm,Elimination,Orange,75-100,49,10,13,20.408163265306122,26.53061224489796,-6.122448979591837,-3.0303030303030307,HIGH,0.2807061369204081
Calm,Survival,Orange,75-100,673,166,188,24.665676077265974,27.934621099554235,-3.2689450222882606,-3.042876901798063,HIGH,0.21112047065304604
Calm,Open,Red,75-100,113,27,32,23.893805309734514,28.31858407079646,-4.424778761061948,-3.0674846625766876,HIGH,0.036510076236194636
Calm,Open,Pink,75-100,45,9,12,20.0,26.666666666666668,-6.666666666666668,-3.1578947368421058,HIGH,0.5120391438666668
Moderate,Positioning,Yellow,25-50,159,36,43,22.641509433962266,27.044025157232703,-4.402515723270437,-3.3492822966507148,HIGH,0.5815693760795667
