condition,round_type,color,exec_bucket,n,good,bad,good_rate,bad_rate,edge,roi,confidence,mean_error
Calm,Open,Purple,25-50,721,192,175,26.629680998613036,24.271844660194176,2.35783633841886,2.2049286640726304,HIGH,0.02286019911661578
Calm,Positioning,Yellow,25-50,1061,270,246,25.447690857681433,23.185673892554195,2.2620169651272377,2.1602160216021593,HIGH,-0.22705847082279926
Calm,Open,Orange,50-75,987,252,230,25.53191489361702,23.302938196555218,2.2289766970618032,2.121504339440694,HIGH,0.10063844039255315
Tough,Positioning,Purple,50-75,96,25,22,26.041666666666668,22.916666666666664,3.1250000000000036,2.0547945205479476,HIGH,-0.17472610236752084
Calm,Survival,Green,0-25,2,1,0,50.0,0.0,50.0,1.9230769230769231,WEAK,-2.1607690915
Tough,Open,Pink,25-50,2,1,0,50.0,0.0,50.0,1.9230769230769231,WEAK,-2.5969500004
Moderate,Closing,Pink,50-75,3,1,0,33.33333333333333,0.0,33.33333333333333,1.8867924528301885,WEAK,-0.8077790815333333
Calm,Survival,Blue,0-25,3,1,0,33.33333333333333,0.0,33.33333333333333,1.8867924528301885,WEAK,-2.3198702128666664
Calm,Open,Green,0-25,3,2,1,66.66666666666666,33.33333333333333,33.33333333333333,1.8867924528301885,WEAK,-1.108222458666667
Moderate,Closing,Yellow,25-50,649,188,175,28.96764252696456,26.964560862865948,2.0030816640986124,1.8597997138769664,HIGH,0.09968142010423034
Calm,Closing,Brown,50-75,6,2,1,33.33333333333333,16.666666666666664,16.666666666666664,1.7857142857142854,WEAK,-1.3067702602666667
Calm,Closing,Yellow,50-75,2172,546,507,25.13812154696133,23.34254143646409,1.7955801104972409,1.7551755175517585,HIGH,-0.07357906799761052
Calm,Positioning,Brown,50-75,9,3,2,33.33333333333333,22.22222222222222,11.111111111111107,1.6949152542372876,WEAK,-0.2907525306666666
Calm,Closing,Green,75-100,128,35,32,27.34375,25.0,2.34375,1.6853932584269662,HIGH,-0.21667388285156247
Moderate,Closing,Yellow,0-25,13,3,2,23.076923076923077,15.384615384615385,7.692307692307692,1.587301587301587,WEAK,-1.0042979332846154
Moderate,Survival,Brown,50-75,15,6,5,40.0,33.33333333333333,6.666666666666671,1.5384615384615397,EXPLORATORY,0.44825720861999996
Moderate,Open,Orange,0-25,15,4,3,26.666666666666668,20.0,6.666666666666668,1.5384615384615388,EXPLORATORY,-0.5034196916133333
Moderate,Open,Purple,25-50,345,93,87,26.956521739130434,25.217391304347824,1.7391304347826093,1.5189873417721524,HIGH,-0.010541149628086955
Moderate,Survival,Green,75-100,104,28,26,26.923076923076923,25.0,1.9230769230769234,1.298701298701299,HIGH,-0.1373855486482693
Calm,Positioning,Orange,50-75,707,171,162,24.186704384724187,22.913719943422915,1.272984441301272,1.1889035667106993,HIGH,0.055140404012545975
Calm,Positioning,Blue,75-100,206,56,53,27.184466019417474,25.728155339805824,1.4563106796116507,1.1718750000000002,HIGH,0.042569139739951516
Calm,Positioning,Red,50-75,208,52,49,25.0,23.557692307692307,1.4423076923076934,1.1627906976744196,HIGH,-0.31474574724855764
Moderate,Closing,Purple,50-75,405,106,101,26.172839506172842,24.938271604938272,1.2345679012345698,1.0989010989011005,HIGH,-0.12166956076123464
Moderate,Positioning,Blue,25-50,368,102,98,27.717391304347828,26.6304347826087,1.086956521739129,0.956937799043061,HIGH,-0.009709822339565261
