Color,Exec/Upside,bucket,Course Condition,Round Type,-2,2,Win Ratio,Adj Win Ratio (150),%Score,Score,,,,,,,
Green,Exec,25-50,Moderate,Closing,37,41,47.44%,47.17%,0.21%,0.21,,,,,,,
Green,Exec,50-75,Moderate,Closing,96,95,50.26%,50.26%,3.31%,3.31,,,,,,,
Green,Exec,75-100,Moderate,Closing,16,19,45.71%,46.63%,-0.32%,-0.32,,,,,,,
Purple,Exec,0-25,Moderate,Closing,0,0,#DIV/0!,46.95%,0.00%,0.00,,,,,,,
Purple,Exec,25-50,Moderate,Closing,52,57,47.71%,47.71%,0.75%,0.75,,,,,,,
Purple,Exec,50-75,Moderate,Closing,110,98,52.88%,52.88%,5.93%,5.93,,,,,,,
Purple,Exec,75-100,Moderate,Closing,6,20,23.08%,42.03%,-4.93%,-4.93,,,,,,,
Red,Exec,0-25,Moderate,Closing,1,0,100.00%,47.48%,0.53%,0.53,,,,,,,
Red,Exec,25-50,Moderate,Closing,12,17,41.38%,45.70%,-1.25%,-1.25,,,,,,,
Red,Exec,50-75,Moderate,Closing,18,30,37.50%,43.89%,-3.07%,-3.07,,,,,,,
Red,Exec,75-100,Moderate,Closing,7,2,77.78%,49.50%,2.55%,2.55,,,,,,,
Brown,Exec,0-25,Moderate,Closing,0,0,#DIV/0!,46.95%,0.00%,0.00,,,,,,,
Brown,Exec,25-50,Moderate,Closing,0,2,0.00%,46.03%,-0.92%,-0.92,,,,,,,
Brown,Exec,50-75,Moderate,Closing,2,0,100.00%,47.99%,1.04%,1.04,,,,,,,
Brown,Exec,75-100,Moderate,Closing,0,0,#DIV/0!,46.95%,0.00%,0.00,,,,,,,
Pink,Upside,0-25,Calm,Open,0,0,#DIV/0!,60.99%,0.00%,0.00,,,,,,,
Pink,Upside,25-50,Calm,Open,4,1,80.00%,61.90%,0.91%,0.91,,,,,,,
Pink,Upside,50-75,Calm,Open,21,15,58.33%,60.29%,-0.70%,-0.70,,,,,,,
Pink,Upside,75-100,Calm,Open,19,6,76.00%,63.99%,3.00%,3.00,,,,,,,
