player_a,player_b,player_c,prediction,predicted_ml,actual_winner,is_push,recommendation,edge,result_type,pl
Jake Knapp,Kurt Kitayama,Nico Echavarria,Kurt Kitayama,175.0,Kurt Kitayama,False,SLIGHT: B favored,1.9308022268099323,WIN,175.0
Seamus Power,Charley Hoffman,Christiaan Bezuidenhout,Christiaan Bezuidenhout,125.0,,True,SLIGHT: C favored,1.83353532331582,2WAY_PUSH_WIN,62.5
Jacob Olesen,Greg Snow,Niklas Norgaard,Greg Snow,550.0,Jacob Olesen,False,SLIGHT: B favored,1.764072074860434,LOSS,-100.0
Gary Woodland,Brandt Snedeker,David Lipsky,David Lipsky,170.0,David Lipsky,False,SLIGHT: C favored,1.7387918126883424,WIN,170.0
Matthew Jordan,Marcel Siem,JC Ritchie,JC Ritchie,130.0,Matthew Jordan,False,SLIGHT: C favored,1.688878025824608,LOSS,-100.0
Bud Cauley,Vince Whaley,Chandler Phillips,Bud Cauley,130.0,Bud Cauley,False,SLIGHT: A favored,1.6612972781005046,WIN,130.0
Bud Cauley,Vince Whaley,Chandler Phillips,Bud Cauley,105.0,Bud Cauley,False,SLIGHT: A favored,1.6612972781005046,WIN,105.0
Sami Valimaki,Lucas Glover,Matt Fitzpatrick,Matt Fitzpatrick,100.0,,True,SLIGHT: C favored,1.6612972781005046,2WAY_PUSH_WIN,50.0
Sami Valimaki,Lucas Glover,Matt Fitzpatrick,Matt Fitzpatrick,-110.0,,True,SLIGHT: C favored,1.6612972781005046,2WAY_PUSH_WIN,45.45454545454545
Bud Cauley,Vince Whaley,Chandler Phillips,Bud Cauley,130.0,Bud Cauley,False,SLIGHT: A favored,1.6612972781005046,WIN,130.0
Bud Cauley,Vince Whaley,Chandler Phillips,Bud Cauley,105.0,Bud Cauley,False,SLIGHT: A favored,1.6612972781005046,WIN,105.0
Sami Valimaki,Lucas Glover,Matt Fitzpatrick,Matt Fitzpatrick,100.0,,True,SLIGHT: C favored,1.6612972781005046,2WAY_PUSH_WIN,50.0
Sami Valimaki,Lucas Glover,Matt Fitzpatrick,Matt Fitzpatrick,-110.0,,True,SLIGHT: C favored,1.6612972781005046,2WAY_PUSH_WIN,45.45454545454545
Lee Westwood,Jon Rahm,Charl Schwartzel,Charl Schwartzel,280.0,Jon Rahm,False,SLIGHT: C favored,1.6364727067413662,LOSS,-100.0
Kris Ventura,Kensei Hirata,Adrien Saddier,Kensei Hirata,240.0,,True,SLIGHT: B favored,1.6364727067413662,2WAY_PUSH_LOSS,-100.0
