player_id,player_name,chinese_zodiac,events,avg_score,win_rate,good_count,bad_count
1246,Frankie Capan III,Rabbit,99,0.85,0.222,22.0,39.0
1362,Fred Biondi,Dragon,42,-0.101,0.167,7.0,8.0
1982,Freddy Schott,Snake,4,2.483,0.25,1.0,2.0
1808,Frederic LaCroix,Pig,4,3.287,0.0,0.0,4.0
2176,Garrett Sapp,Tiger,2,4.755,0.0,0.0,2.0
1080,Garrick Higgo,Rabbit,300,0.129,0.27,81.0,84.0
1065,Gary Woodland,Rat,319,-0.165,0.251,80.0,66.0
1580,Gavin Green,Rooster,11,0.853,0.273,3.0,4.0
2118,George Bloor,Pig,2,-0.285,0.0,0.0,0.0
2044,George Coetzee,Tiger,3,4.51,0.0,0.0,2.0
1351,George McNeill,Rabbit,48,1.734,0.083,4.0,22.0
1415,Graeme McDowell,Goat,28,-0.207,0.357,10.0,6.0
1507,Grant Forrest,Rooster,16,-0.424,0.313,5.0,3.0
1046,Greyson Sigg,Pig,344,-0.218,0.25,86.0,72.0
1392,Guido Migliozzi,Rat,34,1.085,0.147,5.0,10.0
1508,Gunner Wiebe,Dragon,15,1.698,0.133,2.0,7.0
1814,Hamish Brown,Tiger,4,1.295,0.0,0.0,1.0
1203,Hank Lebioda,Rooster,156,0.431,0.16,25.0,35.0
1350,Haotong Li,Pig,48,-0.392,0.292,14.0,7.0
1317,Harold Varner III,Horse,62,-0.603,0.339,21.0,10.0
1054,Harris English,Snake,336,-0.452,0.265,89.0,64.0
1200,Harrison Endycott,Rat,160,0.44,0.206,33.0,45.0
1077,Harry Hall,Ox,304,-0.637,0.339,103.0,48.0
1110,Harry Higgs,Goat,266,0.681,0.226,60.0,89.0
1076,Hayden Buckley,Rat,304,0.552,0.201,61.0,89.0
1193,Hayden Springer,Rat,166,-0.294,0.289,48.0,36.0
2050,Haydn Porteous,Dog,3,1.743,0.333,1.0,1.0
1064,Henrik Norlander,Rabbit,320,0.156,0.231,74.0,79.0
1377,Henrik Stenson,Dragon,36,-0.106,0.222,8.0,6.0
