condition,round_type,exec_bucket,upside_bucket,horoscope,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Survival,25,50,CAPRICORN,54,37.0,16.7,25.8,22.2,11.2,-5.5,1.91,-0.3
Calm,Survival,25,50,GEMINI,56,28.6,21.4,25.8,22.2,2.8,-0.8,1.15,-0.36
Calm,Survival,25,50,LEO,53,17.0,26.4,25.8,22.2,-8.8,4.2,0.55,0.56
Calm,Survival,25,50,PISCES,68,23.5,26.5,25.8,22.2,-2.3,4.3,0.77,0.26
Calm,Survival,25,50,SAGITTARIUS,53,39.6,13.2,25.8,22.2,13.8,-9.0,2.58,-1.08
Calm,Survival,25,50,SCORPIO,66,30.3,13.6,25.8,22.2,4.5,-8.6,1.91,-0.43
Calm,Survival,25,50,TAURUS,32,28.1,21.9,25.8,22.2,2.3,-0.3,1.11,-0.29
Calm,Survival,25,50,VIRGO,59,22.0,20.3,25.8,22.2,-3.8,-1.9,0.93,-0.05
Calm,Survival,25,75,AQUARIUS,31,35.5,12.9,25.8,22.2,9.7,-9.3,2.37,-1.06
Calm,Survival,25,75,ARIES,49,28.6,20.4,25.8,22.2,2.8,-1.8,1.21,-0.52
Calm,Survival,25,75,CANCER,33,27.3,21.2,25.8,22.2,1.5,-1.0,1.11,0.08
Calm,Survival,25,75,GEMINI,50,22.0,14.0,25.8,22.2,-3.8,-8.2,1.35,-0.15
Calm,Survival,25,75,PISCES,56,19.6,21.4,25.8,22.2,-6.2,-0.8,0.79,0.11
Calm,Survival,25,75,SAGITTARIUS,46,26.1,26.1,25.8,22.2,0.3,3.9,0.86,-0.02
Calm,Survival,25,75,SCORPIO,53,30.2,24.5,25.8,22.2,4.4,2.3,1.06,0.23
Calm,Survival,25,75,VIRGO,41,31.7,36.6,25.8,22.2,5.9,14.4,0.75,0.32
Calm,Survival,50,50,AQUARIUS,82,28.0,14.6,25.8,22.2,2.3,-7.6,1.65,-0.45
Calm,Survival,50,50,ARIES,82,26.8,12.2,25.8,22.2,1.0,-10.0,1.89,-0.56
Calm,Survival,50,50,CANCER,122,28.7,16.4,25.8,22.2,2.9,-5.8,1.51,-0.61
Calm,Survival,50,50,CAPRICORN,63,20.6,22.2,25.8,22.2,-5.2,0.0,0.8,0.2
Calm,Survival,50,50,GEMINI,110,29.1,23.6,25.8,22.2,3.3,1.4,1.06,0.05
Calm,Survival,50,50,LEO,80,37.5,20.0,25.8,22.2,11.7,-2.2,1.61,-0.4
Calm,Survival,50,50,LIBRA,37,16.2,37.8,25.8,22.2,-9.6,15.6,0.37,1.6
Calm,Survival,50,50,PISCES,114,25.4,27.2,25.8,22.2,-0.4,5.0,0.81,0.37
Calm,Survival,50,50,SAGITTARIUS,95,33.7,22.1,25.8,22.2,7.9,-0.1,1.31,-0.16
Calm,Survival,50,50,SCORPIO,93,23.7,26.9,25.8,22.2,-2.1,4.7,0.76,0.2
Calm,Survival,50,50,TAURUS,57,38.6,17.5,25.8,22.2,12.8,-4.7,1.89,-0.76
Calm,Survival,50,50,VIRGO,92,22.8,17.4,25.8,22.2,-3.0,-4.8,1.13,-0.25
Calm,Survival,50,75,AQUARIUS,42,11.9,31.0,25.8,22.2,-13.9,8.7,0.33,0.93
Calm,Survival,50,75,ARIES,68,23.5,26.5,25.8,22.2,-2.3,4.3,0.77,0.57
Calm,Survival,50,75,CANCER,54,22.2,16.7,25.8,22.2,-3.6,-5.5,1.15,-0.14
Calm,Survival,50,75,CAPRICORN,50,26.0,24.0,25.8,22.2,0.2,1.8,0.93,0.15
Calm,Survival,50,75,GEMINI,73,20.5,28.8,25.8,22.2,-5.2,6.6,0.61,0.43
Calm,Survival,50,75,LEO,59,28.8,23.7,25.8,22.2,3.0,1.5,1.05,0.03
Calm,Survival,50,75,LIBRA,33,33.3,27.3,25.8,22.2,7.5,5.1,1.05,0.08
Calm,Survival,50,75,PISCES,92,26.1,22.8,25.8,22.2,0.3,0.6,0.98,-0.11
Calm,Survival,50,75,SAGITTARIUS,42,23.8,21.4,25.8,22.2,-2.0,-0.8,0.96,-0.07
Calm,Survival,50,75,SCORPIO,53,30.2,17.0,25.8,22.2,4.4,-5.2,1.53,-0.19
Calm,Survival,50,75,TAURUS,30,36.7,16.7,25.8,22.2,10.9,-5.5,1.89,-0.63
Calm,Survival,50,75,VIRGO,54,24.1,14.8,25.8,22.2,-1.7,-7.4,1.4,-0.02
Calm,Survival,75,50,CANCER,32,37.5,18.8,25.8,22.2,11.7,-3.5,1.72,-0.58
Calm,Survival,75,50,CAPRICORN,32,25.0,25.0,25.8,22.2,-0.8,2.8,0.86,0.47
Calm,Survival,75,50,GEMINI,34,23.5,32.4,25.8,22.2,-2.3,10.2,0.63,0.56
Calm,Survival,75,50,LEO,31,19.4,22.6,25.8,22.2,-6.4,0.4,0.74,0.01
Calm,Survival,75,50,PISCES,31,16.1,32.3,25.8,22.2,-9.7,10.1,0.43,0.71
Calm,Survival,75,50,SCORPIO,36,30.6,13.9,25.8,22.2,4.8,-8.3,1.89,-0.46
Moderate,Closing,50,50,AQUARIUS,33,18.2,27.3,21.9,23.8,-3.7,3.5,0.73,0.43
Moderate,Closing,50,50,ARIES,31,3.2,32.3,21.9,23.8,-18.7,8.5,0.11,0.96
Moderate,Closing,50,50,CANCER,35,40.0,14.3,21.9,23.8,18.1,-9.5,3.05,-0.84
Moderate,Closing,50,50,CAPRICORN,30,20.0,26.7,21.9,23.8,-1.9,2.9,0.82,0.3
Moderate,Closing,50,50,GEMINI,39,23.1,30.8,21.9,23.8,1.2,7.0,0.82,0.49
Moderate,Closing,50,50,LEO,37,35.1,16.2,21.9,23.8,13.3,-7.6,2.36,-0.78
Moderate,Closing,50,50,PISCES,41,24.4,7.3,21.9,23.8,2.5,-16.5,3.63,-0.35
Moderate,Closing,50,50,SCORPIO,33,18.2,24.2,21.9,23.8,-3.7,0.4,0.82,0.6
Moderate,Closing,50,50,VIRGO,30,23.3,16.7,21.9,23.8,1.5,-7.1,1.52,0.35
Moderate,Closing,50,75,ARIES,31,16.1,19.4,21.9,23.8,-5.7,-4.5,0.91,-0.02
Moderate,Closing,50,75,GEMINI,31,25.8,22.6,21.9,23.8,3.9,-1.2,1.24,-0.05
Moderate,Closing,50,75,LEO,35,22.9,14.3,21.9,23.8,1.0,-9.5,1.74,-0.59
Moderate,Closing,50,75,PISCES,36,22.2,25.0,21.9,23.8,0.3,1.2,0.97,0.58
Moderate,Closing,50,75,SAGITTARIUS,30,13.3,40.0,21.9,23.8,-8.5,16.2,0.36,1.22
Moderate,Open,25,50,ARIES,35,25.7,34.3,28.7,21.5,-3.0,12.8,0.56,0.34
Moderate,Open,25,50,CANCER,35,20.0,22.9,28.7,21.5,-8.7,1.4,0.65,0.18
