condition,round_type,color,element,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Moderate,Open,Purple,Fire,71,28.2,25.4,29.0,21.1,-0.8,4.3,0.81,0.09
Moderate,Open,Purple,Metal,80,32.5,16.3,29.0,21.1,3.5,-4.8,1.45,-0.35
Moderate,Open,Purple,Water,60,30.0,13.3,29.0,21.1,1.0,-7.7,1.63,-0.69
Moderate,Open,Purple,Wood,43,30.2,18.6,29.0,21.1,1.2,-2.5,1.18,-0.25
Moderate,Open,Yellow,Earth,185,29.2,19.5,29.0,21.1,0.2,-1.6,1.09,-0.41
Moderate,Open,Yellow,Fire,220,28.2,26.8,29.0,21.1,-0.8,5.8,0.76,0.27
Moderate,Open,Yellow,Metal,125,28.0,16.0,29.0,21.1,-1.0,-5.1,1.27,-0.42
Moderate,Open,Yellow,Water,178,32.0,19.7,29.0,21.1,3.0,-1.4,1.18,-0.32
Moderate,Open,Yellow,Wood,128,23.4,17.2,29.0,21.1,-5.6,-3.9,0.99,-0.17
Moderate,Positioning,Blue,Earth,50,28.0,20.0,22.8,22.3,5.2,-2.3,1.37,-0.19
Moderate,Positioning,Blue,Fire,43,20.9,23.3,22.8,22.3,-1.9,0.9,0.88,-0.32
Moderate,Positioning,Blue,Metal,38,21.1,34.2,22.8,22.3,-1.7,11.9,0.6,0.79
Moderate,Positioning,Blue,Water,39,20.5,33.3,22.8,22.3,-2.3,11.0,0.6,0.2
Moderate,Positioning,Blue,Wood,34,26.5,17.6,22.8,22.3,3.7,-4.7,1.47,-0.29
Moderate,Positioning,Green,Earth,34,23.5,14.7,22.8,22.3,0.7,-7.6,1.57,-0.17
Moderate,Positioning,Green,Fire,33,21.2,15.2,22.8,22.3,-1.6,-7.2,1.37,-0.01
Moderate,Positioning,Green,Wood,33,24.2,15.2,22.8,22.3,1.4,-7.2,1.57,-0.61
Moderate,Positioning,Orange,Fire,33,27.3,18.2,22.8,22.3,4.5,-4.2,1.47,-1.0
Moderate,Positioning,Purple,Earth,45,20.0,28.9,22.8,22.3,-2.8,6.5,0.68,0.19
Moderate,Positioning,Purple,Fire,46,23.9,23.9,22.8,22.3,1.1,1.6,0.98,0.02
Moderate,Positioning,Purple,Metal,36,13.9,27.8,22.8,22.3,-8.9,5.4,0.49,0.21
Moderate,Positioning,Purple,Water,43,16.3,30.2,22.8,22.3,-6.5,7.9,0.53,0.61
Moderate,Positioning,Purple,Wood,33,30.3,15.2,22.8,22.3,7.5,-7.2,1.96,-0.39
Moderate,Positioning,Yellow,Earth,95,20.0,25.3,22.8,22.3,-2.8,2.9,0.78,0.26
Moderate,Positioning,Yellow,Fire,94,21.3,23.4,22.8,22.3,-1.5,1.1,0.89,0.26
Moderate,Positioning,Yellow,Metal,58,25.9,15.5,22.8,22.3,3.1,-6.8,1.63,-0.4
Moderate,Positioning,Yellow,Water,79,16.5,24.1,22.8,22.3,-6.3,1.7,0.67,0.52
Moderate,Positioning,Yellow,Wood,58,29.3,27.6,22.8,22.3,6.5,5.2,1.04,0.1
Moderate,Survival,Blue,Earth,76,30.3,9.2,28.8,20.4,1.5,-11.2,2.33,-1.08
Moderate,Survival,Blue,Fire,76,36.8,27.6,28.8,20.4,8.1,7.2,0.95,-0.57
Moderate,Survival,Blue,Metal,55,32.7,29.1,28.8,20.4,4.0,8.7,0.8,0.04
Moderate,Survival,Blue,Water,57,29.8,21.1,28.8,20.4,1.1,0.6,1.01,-0.34
Moderate,Survival,Blue,Wood,46,32.6,10.9,28.8,20.4,3.9,-9.6,2.13,-0.78
Moderate,Survival,Green,Fire,31,9.7,22.6,28.8,20.4,-19.1,2.2,0.3,0.41
Moderate,Survival,Orange,Earth,35,31.4,22.9,28.8,20.4,2.7,2.4,0.98,-0.11
Moderate,Survival,Orange,Fire,49,28.6,16.3,28.8,20.4,-0.2,-4.1,1.24,-0.52
Moderate,Survival,Orange,Metal,37,27.0,18.9,28.8,20.4,-1.7,-1.5,1.01,-0.52
Moderate,Survival,Orange,Water,30,36.7,23.3,28.8,20.4,7.9,2.9,1.12,-0.32
Moderate,Survival,Orange,Wood,31,32.3,22.6,28.8,20.4,3.5,2.2,1.01,-0.21
Moderate,Survival,Purple,Metal,31,22.6,25.8,28.8,20.4,-6.2,5.4,0.62,0.02
Moderate,Survival,Purple,Water,31,41.9,9.7,28.8,20.4,13.2,-10.7,3.08,-1.11
Moderate,Survival,Yellow,Earth,132,23.5,22.7,28.8,20.4,-5.3,2.3,0.73,-0.21
Moderate,Survival,Yellow,Fire,150,26.0,21.3,28.8,20.4,-2.8,0.9,0.87,-0.25
Moderate,Survival,Yellow,Metal,106,29.2,23.6,28.8,20.4,0.5,3.2,0.88,-0.0
Moderate,Survival,Yellow,Water,115,28.7,20.0,28.8,20.4,-0.1,-0.4,1.02,-0.51
Moderate,Survival,Yellow,Wood,113,18.6,20.4,28.8,20.4,-10.2,-0.1,0.65,0.08
